text,label
Salom qalaysan,ham
Bugun uchrashamizmi,ham
Qayerdasan,ham
Hamma yaxshi,ham
Ertaga gaplashamiz,ham
Yig'ilish soat nechida,ham
Yaxshi dam oldingmi,ham
Bugun ishga bormaysanmi,ham
Bugun juda issiq,ham
Bugun nima qilamiz,ham
Seni kutib turibman,ham
Tezroq kela qol,ham
Zo'r rahmat,ham
Xayrli tong,ham
Qachon kelasiz?,ham
Assalomu alaykum,ham
Sizni tushunmadim,ham
Iltimos yordam yuboring,ham
Men uyga ketyapman,ham
Bo'ldi kelishdik,ham
Telefonga javob ber,ham
Qalesan nima gaplar,ham
Qachon ko'rishamiz?,ham
Ajoyib kun bo'ldi,ham
Tuzikmisiz?,ham
Ishlar qalay?,ham
Manzilni tashlab yuborgin,ham
Kutib o'tiribman seni,ham
Pul o'tkazib yubordim,ham
Tinchlikmi orqadan qaytaman,ham
