text,label,category,notes
"Hurmatli mijoz, HUMO kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: https://bank-uz.com",scam,bank_phishing,generated financial phishing
"Hurmatli mijoz, HUMO kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: bit.ly/uz-bank",scam,bank_phishing,generated financial phishing
"Hurmatli mijoz, HUMO kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: http://tasdiq-bank.uz",scam,bank_phishing,generated financial phishing
"Hurmatli mijoz, HUMO kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: https://uzcard-update.uz",scam,bank_phishing,generated financial phishing
"Hurmatli mijoz, HUMO kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: http://security-uz.com",scam,bank_phishing,generated financial phishing
"Hurmatli mijoz, HUMO kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: https://humomp.uz",scam,bank_phishing,generated financial phishing
"Hurmatli mijoz, HUMO kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: https://xavfsizlik-bot.uz",scam,bank_phishing,generated financial phishing
"Hurmatli mijoz, HUMO kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: bit.ly/bank-auth",scam,bank_phishing,generated financial phishing
"Hurmatli mijoz, Uzcard kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: https://bank-uz.com",scam,bank_phishing,generated financial phishing
"Hurmatli mijoz, Uzcard kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: bit.ly/uz-bank",scam,bank_phishing,generated financial phishing
"Hurmatli mijoz, Uzcard kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: http://tasdiq-bank.uz",scam,bank_phishing,generated financial phishing
"Hurmatli mijoz, Uzcard kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: https://uzcard-update.uz",scam,bank_phishing,generated financial phishing
"Hurmatli mijoz, Uzcard kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: http://security-uz.com",scam,bank_phishing,generated financial phishing
"Hurmatli mijoz, Uzcard kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: https://humomp.uz",scam,bank_phishing,generated financial phishing
"Hurmatli mijoz, Uzcard kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: https://xavfsizlik-bot.uz",scam,bank_phishing,generated financial phishing
"Hurmatli mijoz, Uzcard kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: bit.ly/bank-auth",scam,bank_phishing,generated financial phishing
"Hurmatli mijoz, Xalq Banki kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: https://bank-uz.com",scam,bank_phishing,generated financial phishing
"Hurmatli mijoz, Xalq Banki kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: bit.ly/uz-bank",scam,bank_phishing,generated financial phishing
"Hurmatli mijoz, Xalq Banki kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: http://tasdiq-bank.uz",scam,bank_phishing,generated financial phishing
"Hurmatli mijoz, Xalq Banki kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: https://uzcard-update.uz",scam,bank_phishing,generated financial phishing
"Hurmatli mijoz, Xalq Banki kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: http://security-uz.com",scam,bank_phishing,generated financial phishing
"Hurmatli mijoz, Xalq Banki kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: https://humomp.uz",scam,bank_phishing,generated financial phishing
"Hurmatli mijoz, Xalq Banki kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: https://xavfsizlik-bot.uz",scam,bank_phishing,generated financial phishing
"Hurmatli mijoz, Xalq Banki kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: bit.ly/bank-auth",scam,bank_phishing,generated financial phishing
"Hurmatli mijoz, NBU kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: https://bank-uz.com",scam,bank_phishing,generated financial phishing
"Hurmatli mijoz, NBU kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: bit.ly/uz-bank",scam,bank_phishing,generated financial phishing
"Hurmatli mijoz, NBU kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: http://tasdiq-bank.uz",scam,bank_phishing,generated financial phishing
"Hurmatli mijoz, NBU kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: https://uzcard-update.uz",scam,bank_phishing,generated financial phishing
"Hurmatli mijoz, NBU kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: http://security-uz.com",scam,bank_phishing,generated financial phishing
