text,language,source_dataset,original_label,normalized_text
Срочно требуются 2 человека. Прибыльность от 16 тыс.рублей в день.Удаленка.За подробностями + в ЛС,ru,telegram_spam_cleaned.csv,spam,срочно требуются 2 человека. прибыльность от 16 тыс.рублей в день.удаленка.за подробностями + в лс
"Выходи на доход от 80 долларов в час. Есть несколько свободных места, пишите хочу в личные сообщения",ru,telegram_spam_cleaned.csv,spam,"выходи на доход от 80 долларов в час. есть несколько свободных места, пишите хочу в личные сообщения"
Здрастуйте. Доход от 500 доларов в неделю. Есть желание попробовать? Пишите старт в личные сообщения,ru,telegram_spam_cleaned.csv,spam,здрастуйте. доход от 500 доларов в неделю. есть желание попробовать? пишите старт в личные сообщения
Требуются 2 человека. Заработок от 16 тыс. рублей в день.Удаленка.Напишите в ЛС!,ru,telegram_spam_cleaned.csv,spam,требуются 2 человека. заработок от 16 тыс. рублей в день.удаленка.напишите в лс!
"Срочно ищем новых партнеров для УДАЛЕННОГО заработка.
Прибыль каждый день от 100-140$, белый вид дохода
Нужно 1-3 часа в день!
Принимаем как с опытом, так и без.

Возраст от 25 лет!! 

Пишите ""+"" в лс!",ru,telegram_spam_cleaned.csv,spam,"срочно ищем новых партнеров для удаленного заработка. прибыль каждый день от 100-140$, белый вид дохода нужно 1-3 часа в день! принимаем как с опытом, так и без. возраст от 25 лет!! пишите ""+"" в лс!"
"Здравствуйте. Хорошая возможность получать 400 долларов в час доступна уже сейчас. Напиши мне интересно расскажу, как начать",ru,telegram_spam_cleaned.csv,spam,"здравствуйте. хорошая возможность получать 400 долларов в час доступна уже сейчас. напиши мне интересно расскажу, как начать"
"Нужны люди в команду. Приятный ЗАРАБОТОК от 200 $ в день. Если интересует подробная информация "" + "" в лс",ru,telegram_spam_cleaned.csv,spam,"нужны люди в команду. приятный заработок от 200 $ в день. если интересует подробная информация "" + "" в лс"
"Доход от $100 в день без риска и серых схем
? Легально, прозрачно, без вложений в казино и сомнительные проекты
? Работает для всех — идеальный вариант для занятых людей 30+
? Ты контролируешь процесс, а деньги капают 24/7",ru,telegram_spam_cleaned.csv,spam,"доход от $100 в день без риска и серых схем ? легально, прозрачно, без вложений в казино и сомнительные проекты ? работает для всех — идеальный вариант для занятых людей 30+ ? ты контролируешь процесс, а деньги капают 24/7"
Требуются 2 человека. Заработок от 16 тыс. рублей в день.Удаленка.Подробности в ЛС.,ru,telegram_spam_cleaned.csv,spam,требуются 2 человека. заработок от 16 тыс. рублей в день.удаленка.подробности в лс.
"Ищу людей, возьму 2-3 человека. 18+ удаленная деятельность. От 250$ в день. Кому интересно + в ЛС",ru,telegram_spam_cleaned.csv,spam,"ищу людей, возьму 2-3 человека. 18+ удаленная деятельность. от 250$ в день. кому интересно + в лс"
"🔤🔤🔤🔤🔤🔤🔤🔤🔤🔤

❗️❗️❗️ТРЕБУЮТСЯ ЛЮДИ❗️❗️❗️
💵Высокая ЗП
✍️Свободный гр@USERNAME_REDACTED ☹️☺️😣часа  в день
😜Забирай – дост@USERNAME_REDACTED – з@USERNAME_REDACTED@USERNAME_REDACTED
🔝Курьер – это легко и выгодно!

🙊🙊😳🙊🙊🙊🙊🙊🙊",ru,telegram_spam_cleaned.csv,spam,🔤🔤🔤🔤🔤🔤🔤🔤🔤🔤 ❗️❗️❗️требуются люди❗️❗️❗️ 💵высокая зп ✍️свободный гр@username_redacted ☹️☺️😣часа в день 😜забирай – дост@username_redacted – з@username_redacted@username_redacted 🔝курьер – это легко и выгодно! 🙊🙊😳🙊🙊🙊🙊🙊🙊
"Предлагаю стабильное сотрудничество с привлекательными условиями! Доход не ограничен, обучение — бесплатно. Все детали в ЛС!",ru,telegram_spam_cleaned.csv,spam,"предлагаю стабильное сотрудничество с привлекательными условиями! доход не ограничен, обучение — бесплатно. все детали в лс!"
"Привет, нужны 2 человека ,все с телефона, или  компьютера. От 220 $ в день. Удалённая занятость , пиши + в лс",ru,telegram_spam_cleaned.csv,spam,"привет, нужны 2 человека ,все с телефона, или компьютера. от 220 $ в день. удалённая занятость , пиши + в лс"
"Приветствую. Хочешь выйти на доход 400 долларов в неделю? Пишите в личные сообщение, расскажу детали. Осталось несколько  свободных мест",ru,telegram_spam_cleaned.csv,spam,"приветствую. хочешь выйти на доход 400 долларов в неделю? пишите в личные сообщение, расскажу детали. осталось несколько свободных мест"
👄🥺Загляни ко мне в профиль🥺👄,ru,telegram_spam_cleaned.csv,spam,👄🥺загляни ко мне в профиль🥺👄
Срочно требуются 2 человека. Прибыльность от 16 тыс.рублей в день.Удаленка.Подробности в ЛС,ru,telegram_spam_cleaned.csv,spam,срочно требуются 2 человека. прибыльность от 16 тыс.рублей в день.удаленка.подробности в лс
Нужны 2-3 человека (18+) для удаленной деятельности от 300$ в день. Заинтересованных прошу писать ➕ в личку.,ru,telegram_spam_cleaned.csv,spam,нужны 2-3 человека (18+) для удаленной деятельности от 300$ в день. заинтересованных прошу писать ➕ в личку.
Ищем активных людей для стабильного дохода! Заработок от 250 долларов в неделю. Осталось 4 свободных места. Возраст от 20 лет. Пишите в личку для подробностей!,ru,telegram_spam_cleaned.csv,spam,ищем активных людей для стабильного дохода! заработок от 250 долларов в неделю. осталось 4 свободных места. возраст от 20 лет. пишите в личку для подробностей!
Готов к доходу от $700 в неделю? Уникальные условия: до 10% еженедельно. Мест мало – пишите в личные сообщения,ru,telegram_spam_cleaned.csv,spam,готов к доходу от $700 в неделю? уникальные условия: до 10% еженедельно. мест мало – пишите в личные сообщения
"Приветствую. Доход от 75 долларов в час, записывайся прямо сейчас, осталось 3 мест. Пишите плюс в личные сообщения, расскажу детали",ru,telegram_spam_cleaned.csv,spam,"приветствую. доход от 75 долларов в час, записывайся прямо сейчас, осталось 3 мест. пишите плюс в личные сообщения, расскажу детали"
