text,risk_label,intent_label,tags,language,source
Tasdiqlash kodi: 482901,SAFE,INFO,otp,uz,manual
Hisobingizdan 12000 so'm yechildi,SAFE,INFO,"bank,transaction_notice",uz,manual
O'tkazma qabul qilindi: 50000 so'm,SAFE,INFO,"bank,transaction_notice",uz,manual
Bu kodni hech kimga bermang,SAFE,WARNING,"otp,otp_warning",uz,manual
SMS kodingizni xodimlarimizga ham bermang,SAFE,WARNING,"otp,otp_warning",uz,manual
Sovrin yutib oldingiz,SUSPICIOUS,UNKNOWN,prize_bait,uz,manual
Profilingizni tasdiqlang,SUSPICIOUS,REQUEST,"phishing,login_auth,curiosity_bait",uz,manual
Siz yutuq yutib oldingiz! Havolaga o'ting: http://bonus-check.click,SUSPICIOUS,UNKNOWN,"prize_bait,link",uz,manual
Kodni menga yuboring,DANGEROUS,REQUEST,"otp_request,phishing",uz,manual
Katta kodi: 5829. Uni yozib yuboring,DANGEROUS,REQUEST,"otp_request,phishing",uz,manual
Karta ma'lumotlarini kiriting: http://secure-check.click,DANGEROUS,REQUEST,"card_data,phishing,link",uz,manual
"Akkauntingiz bloklandi, darhol loginni tasdiqlang: http://secure-login.click",DANGEROUS,REQUEST,"phishing,login_auth,urgency,link",uz,manual
Rasmni oching: photo.jpg.apk,DANGEROUS,REQUEST,"dangerous_file,malware",uz,manual
Karta raqami va cvv kodni kiriting,DANGEROUS,REQUEST,"card_data,cvv,phishing",uz,manual
To'lov amali bajarilmadi. Qayta kiriting: http://pay-check.xyz,DANGEROUS,REQUEST,"bank,link,phishing",uz,manual
Uchrashuv soati 10:00 da,SAFE,UNKNOWN,,uz,manual
Ertaga soat 9 da majlis,SAFE,UNKNOWN,,uz,manual
"Kechirasiz, kech qolyapman",SAFE,UNKNOWN,,uz,manual
"Salom, qandaysan?",SAFE,UNKNOWN,,uz,manual
Uyga kelganda tel qil,SAFE,UNKNOWN,,uz,manual
Xizmat haqi: 2500 so'm,SAFE,INFO,bank,uz,manual
Balansingiz: 4500.50 so'm,SAFE,INFO,bank,uz,manual
To'lov muvaffaqiyatli yakunlandi,SAFE,INFO,"bank,transaction_notice",uz,manual
Karta ochish uchun arizangiz qabul qilindi,SAFE,INFO,bank,uz,manual
Bank tomonidan maxfiy kod: 4392,SAFE,INFO,otp,uz,manual
Tasdiqlash kodi: 9940. Hech kimga bermang,SAFE,INFO,otp,uz,manual
Xavfsizlik yuzasidan kodni maxfiy tuting,SAFE,WARNING,otp_warning,uz,manual
BELEK: Sizga 100 000 so'm bonus berildi! Olish uchun: http://bonusuz.click,SUSPICIOUS,UNKNOWN,"prize_bait,link",uz,manual
Yangi aksiyamizda ishtirok eting va iPhone yutib oling!,SUSPICIOUS,UNKNOWN,prize_bait,uz,manual
Sizga sovg'a yuborildi. Tekshirish: http://tg-gift.link,SUSPICIOUS,UNKNOWN,"prize_bait,link",uz,manual
