text,language,source_dataset,original_label,normalized_text
Ok lar... Joking wif u oni...,uz,sms_spam_collection.txt,ham,ok lar... joking wif u oni...
U dun say so early hor... U c already then say...,uz,sms_spam_collection.txt,ham,u dun say so early hor... u c already then say...
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,uz,sms_spam_collection.txt,spam,had your mobile 11 months or more? u r entitled to update to the latest colour mobiles with camera for free! call the mobile update co free on 08002986030
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,uz,sms_spam_collection.txt,ham,eh u remember how 2 spell his name... yes i did. he v naughty make until i v wet.
Fine if thats the way u feel. Thats the way its gota b,uz,sms_spam_collection.txt,ham,fine if thats the way u feel. thats the way its gota b
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,uz,sms_spam_collection.txt,ham,aft i finish my lunch then i go str down lor. ard 3 smth lor. u finish ur lunch already?
Anything lor... U decide...,uz,sms_spam_collection.txt,ham,anything lor... u decide...
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,uz,sms_spam_collection.txt,ham,u don't know how stubborn i am. i didn't even want to go to the hospital. i kept telling mark i'm not a weak sucker. hospitals are for weak suckers.
"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",uz,sms_spam_collection.txt,ham,"today is ""song dedicated day.."" which song will u dedicate for me? send this to all ur valuable frnds but first rply me..."
U can call me now...,uz,sms_spam_collection.txt,ham,u can call me now...
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,uz,sms_spam_collection.txt,ham,for real when u getting on yo? i only need 2 more tickets and one more jacket and i'm done. i already used all my multis.
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,uz,sms_spam_collection.txt,ham,smile in pleasure smile in pain smile when trouble pours like rain smile when sum1 hurts u smile becoz someone still loves to see u smiling!!
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,uz,sms_spam_collection.txt,ham,havent planning to buy later. i check already lido only got 530 show in e afternoon. u finish work already?
Watching telugu movie..wat abt u?,uz,sms_spam_collection.txt,ham,watching telugu movie..wat abt u?
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",uz,sms_spam_collection.txt,ham,"hi. wk been ok - on hols now! yes on for a bit of a run. forgot that i have hairdressers appointment at four so need to get home n shower beforehand. does that cause prob for u?"""
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,uz,sms_spam_collection.txt,ham,okay name ur price as long as its legal! wen can i pick them up? y u ave x ams xx
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",uz,sms_spam_collection.txt,ham,"wow. you're right! i didn't mean to do that. i guess once i gave up on boston men and changed my search location to nyc, something changed. cuz on my signin page it still says boston."
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,uz,sms_spam_collection.txt,ham,i'm ok wif it cos i like 2 try new things. but i scared u dun like mah. cos u said not too loud.
You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,uz,sms_spam_collection.txt,spam,you are a winner u have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+)
"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",uz,sms_spam_collection.txt,spam,"urgent! your mobile no. was awarded £2000 bonus caller prize on 5/9/03 this is our final try to contact u! call from landline 09064019788 box42wr29c, 150ppm"
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,uz,sms_spam_collection.txt,ham,hey girl. how r u? hope u r well me an del r bak! again long time no c! give me a call sum time from lucyxx
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,uz,sms_spam_collection.txt,spam,sunshine quiz wkly q! win a top sony dvd player if u know which country the algarve is in? txt ansr to 82277. £1.50 sp:tyrone
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,uz,sms_spam_collection.txt,spam,you'll not rcv any more msgs from the chat svc. for free hardcore services text go to: 69988 if u get nothing u must age verify with yr network & try again
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",uz,sms_spam_collection.txt,spam,"freemsg why haven't you replied to my text? i'm randy, sexy, female and live local. luv to hear from u. netcollex ltd 08700621170150p per msg reply stop to end"
You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,uz,sms_spam_collection.txt,spam,you are a winner u have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,uz,sms_spam_collection.txt,spam,-pls stop bootydelious (32/f) is inviting you to be her friend. reply yes-434 or no-434 see her: www.sms.ac/u/bootydelious stop? send stop frnd to 62468
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",uz,sms_spam_collection.txt,spam,"bangbabes ur order is on the way. u should receive a service msg 2 download ur content. if u do not, goto wap. bangb. tv on ur mobile internet/service menu"
