text,source,label,language_hint,priority,reason
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,sms,scam,en,high,strong prize scam pattern
U dun say so early hor... U c already then say...,sms,ham,en,medium,useful ham example for balance
WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,sms,scam,en,high,strong prize scam pattern
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",sms,scam,en,high,strong prize scam pattern
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",sms,scam,en,high,strong prize scam pattern
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",sms,scam,en,high,high priority general scam
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,sms,scam,en,high,high priority general scam
No calls..messages..missed calls,sms,ham,en,medium,useful ham example for balance
"Fair enough, anything going on?",sms,ham,en,medium,useful ham example for balance
What you thinked about me. First time you saw me in class.,sms,ham,en,medium,useful ham example for balance
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,sms,scam,en,high,strong prize scam pattern
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",sms,scam,en,medium,medium priority scam style
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",sms,scam,en,high,strong prize scam pattern
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",sms,scam,en,high,strong prize scam pattern
Wah lucky man... Then can save money... Hee...,sms,ham,en,medium,useful ham example for balance
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,sms,ham,en,medium,useful ham example for balance
Does not operate after  &lt;#&gt;  or what,sms,ham,en,medium,useful ham example for balance
"Sorry, I'll call later",sms,ham,en,medium,useful ham example for balance
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,sms,scam,en,high,strong prize scam pattern
"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",sms,scam,en,high,urgent financial scam pattern
i see. When we finish we have loads of loans to pay,sms,ham,en,medium,useful ham example for balance
I see a cup of coffee animation,sms,ham,en,medium,useful ham example for balance
Umma my life and vava umma love you lot dear,sms,ham,en,medium,useful ham example for balance
What is the plural of the noun research?,sms,ham,en,medium,useful ham example for balance
GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,sms,scam,en,high,strong prize scam pattern
You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),sms,scam,en,high,strong prize scam pattern
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,sms,scam,en,high,strong prize scam pattern
"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",sms,scam,en,high,strong prize scam pattern
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,sms,scam,en,high,strong prize scam pattern
Are you there in room.,sms,ham,en,medium,useful ham example for balance
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,sms,scam,en,high,strong prize scam pattern
He is there. You call and meet him,sms,ham,en,medium,useful ham example for balance
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,sms,scam,en,high,urgent financial scam pattern
Yes see ya not on the dot,sms,ham,en,medium,useful ham example for balance
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",sms,scam,en,medium,medium priority scam style
I'm leaving my house now...,sms,ham,en,medium,useful ham example for balance
You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,sms,scam,en,high,strong prize scam pattern
URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,sms,scam,en,high,strong prize scam pattern
Lol no. U can trust me.,sms,ham,en,medium,useful ham example for balance
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,sms,scam,en,high,strong prize scam pattern
Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,sms,scam,en,medium,medium priority scam style
Hi :)finally i completed the course:),sms,ham,en,medium,useful ham example for balance
You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,sms,ham,en,medium,useful ham example for balance
Home so we can always chat,sms,ham,en,medium,useful ham example for balance
K:)k:)good:)study well.,sms,ham,en,medium,useful ham example for balance
Sounds great! Are you home now?,sms,ham,en,medium,useful ham example for balance
Tired. I haven't slept well the past few nights.,sms,ham,en,medium,useful ham example for balance
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",sms,scam,en,medium,medium priority scam style
Would really appreciate if you call me. Just need someone to talk to.,sms,ham,en,medium,useful ham example for balance
Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,sms,scam,en,high,strong prize scam pattern
