text,language_orig,source_dataset,original_label,normalized_text,source_lang_dataset,label_unified,language_detected,language_fixed,language_confidence
"Sir, I need AXIS BANK account no and bank address.",uz,messages_cleaned.csv,ham,"sir, i need axis bank account no and bank address.",uz,SAFE,en,en,low
"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos...",uz,messages_cleaned.csv,ham,"nothing. i meant that once the money enters your account here, the bank will remove its flat rate. someone transfered &lt;#&gt; to my account and &lt;#&gt; dollars got removed. so the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos...",uz,SAFE,en,en,low
"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",uz,messages_cleaned.csv,ham,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",uz,SAFE,en,en,low
"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'",uz,messages_cleaned.csv,ham,"a famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'married'",uz,SAFE,en,en,low
My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!,uz,messages_cleaned.csv,ham,my sort code is and acc no is . the bank is natwest. can you reply to confirm i've sent this to the right person!,uz,SAFE,en,en,low
"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",uz,messages_cleaned.csv,ham,"so many people seems to be special at first sight, but only very few will remain special to you till your last sight.. maintain them till life ends.. sh!jas",uz,SAFE,en,en,low
I'll probably be by tomorrow (or even later tonight if something's going on),uz,messages_cleaned.csv,ham,i'll probably be by tomorrow (or even later tonight if something's going on),uz,SAFE,en,en,low
Today my system sh get ready.all is well and i am also in the deep well,uz,messages_cleaned.csv,ham,today my system sh get ready.all is well and i am also in the deep well,uz,SAFE,en,en,low
Who's there say hi to our drugdealer,uz,messages_cleaned.csv,ham,who's there say hi to our drugdealer,uz,SAFE,en,en,low
I think you should go the honesty road. Call the bank tomorrow. Its the tough decisions that make us great people.,uz,messages_cleaned.csv,ham,i think you should go the honesty road. call the bank tomorrow. its the tough decisions that make us great people.,uz,SAFE,en,en,low
Nothing just getting msgs by dis name wit different no's..,uz,messages_cleaned.csv,ham,nothing just getting msgs by dis name wit different no's..,uz,SAFE,en,en,low
