text,normalized_text,label_unified,language_fixed,language_confidence,source_dataset
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...","go until jurong point, crazy.. available only in bugis n great world la e buffet... cine there got amore wat...",SAFE,en,high,messages_cleaned.csv
Ok lar... Joking wif u oni...,ok lar... joking wif u oni...,SAFE,en,high,messages_cleaned.csv
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005. text fa to 87121 to receive entry question(std txt rate)t&c's apply 08452810075over18's,DANGEROUS,en,high,messages_cleaned.csv
U dun say so early hor... U c already then say...,u dun say so early hor... u c already then say...,SAFE,en,high,messages_cleaned.csv
"Nah I don't think he goes to usf, he lives around here though","nah i don't think he goes to usf, he lives around here though",SAFE,en,high,messages_cleaned.csv
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv","freemsg hey there darling it's been 3 week's now and no word back! i'd like some fun you up for it still? tb ok! xxx std chgs to send, £1.50 to rcv",DANGEROUS,en,high,messages_cleaned.csv
Even my brother is not like to speak with me. They treat me like aids patent.,even my brother is not like to speak with me. they treat me like aids patent.,SAFE,en,high,messages_cleaned.csv
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,as per your request 'melle melle (oru minnaminunginte nurungu vettam)' has been set as your callertune for all callers. press *9 to copy your friends callertune,SAFE,en,high,messages_cleaned.csv
WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner!! as a valued network customer you have been selected to receivea £900 prize reward! to claim call 09061701461. claim code kl341. valid 12 hours only.,DANGEROUS,en,high,messages_cleaned.csv
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,had your mobile 11 months or more? u r entitled to update to the latest colour mobiles with camera for free! call the mobile update co free on 08002986030,DANGEROUS,en,high,messages_cleaned.csv
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.","i'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? i've cried enough today.",SAFE,en,high,messages_cleaned.csv
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","six chances to win cash! from 100 to 20,000 pounds txt> csh11 and send to 87575. cost 150p/day, 6days, 16+ tsandcs apply reply hl 4 info",DANGEROUS,en,high,messages_cleaned.csv
