text,label
"Hisobingiz vaqtincha bloklandi. Tiklash uchun havolani bosing",scam
"Bank kartangiz muzlatildi. Ma'lumotlaringizni tasdiqlang",scam
"Yutdingiz! 5 000 000 so'm mukofotni olish uchun formani to'ldiring",scam
"Siz yutuqli o‘yinda g‘olib bo‘ldingiz. Tezda javob bering",scam
"Hisobingizga ruxsatsiz kirish aniqlandi. Zudlik bilan tasdiqlang",scam
"Kredit qarzingiz sabab hisobingiz yopiladi",scam
"Bank xavfsizlik xizmati: havola orqali tekshiruvdan o'ting",scam
"Soliq qarzingiz bor. Bugun to'lamasangiz jarima",scam
"Pul o'tkazmasi bekor qilindi. Qayta faollashtiring",scam
"Akkauntingiz bloklanish arafasida",scam
"Chegirma yutib oldingiz. Hoziroq foydalaning",scam
"Siz tanlangan mijozsiz. Mukofotni oling",scam
"Kartangizdan shubhali operatsiya amalga oshirildi",scam
"Bonus olish uchun ma'lumot kiriting",scam
"Bank yangilanishi. Hisobni tasdiqlang",scam
"Hisobingizga kirish vaqtincha cheklangan",scam
"Yangi to'lov tizimi. Profilingizni yangilang",scam
"Pul yechib olish rad etildi. Sababini bilish uchun kiring",scam
"Sizga pul o'tkazildi. Qabul qilish uchun tasdiqlang",scam
"Akkaunt tekshiruvi talab qilinadi",scam
"Salom, bugun kechroq kelaman",ham
"Ertaga uchrashamizmi?",ham
"Iltimos, menga qo'ng'iroq qil",ham
"Bugun dars soat nechida boshlanadi?",ham
"Yo'lda tirbandlik bor ekan",ham
"Uyga non olib kel",ham
"Rahmat, xabaringni oldim",ham
"Kechirasan, biroz kechikaman",ham
"Bugun ishlay olmayman",ham
"Hujjatlarni ertaga topshiraman",ham
"Salom, qalaysan?",ham
"Bugun sport zalga boramizmi",ham
"Hisobingizga pul tushdi",ham
"Ishdan keyin gaplashamiz",ham
"Yaxshi yetib oldim",ham
"Ertaga yig'ilish bor",ham
"Bugun havo sovuq ekan",ham
"Telefonim o'chib qoladi",ham
"Uyga qachon kelasiz",ham
"Rahmat, yordam uchun",ham
