text,label,origin,notes
Juma ayyomi muborak qadrdonlarim!,ham,adapted,telegram group / work / general
Guruhga yangi a'zolarni qo'shmanglar iltimos,ham,adapted,telegram group / work / general
"Faylni yuklab oldim, rahmat",ham,adapted,telegram group / work / general
Zoom linkini tashlab yuborasizmi?,ham,adapted,telegram group / work / general
Ertaga praktika nechchida boshlanar ekan?,ham,adapted,telegram group / work / general
Guruhimiz qizlarini 8-mart bilan tabriklayman,ham,adapted,telegram group / work / general
Kimda konspekt bor? Tashlab yuboringlar,ham,adapted,telegram group / work / general
Dars qachon tugaydi o'zi?,ham,adapted,telegram group / work / general
"Men bugun borolmayman, ruxsat olganman",ham,adapted,telegram group / work / general
Stadionda soat 7 da yig'ilamiz,ham,adapted,telegram group / work / general
Forma kiyish shartmi ertaga?,ham,adapted,telegram group / work / general
Uydagilar bilan maslahatlashib aytaman,ham,adapted,telegram group / work / general
Bugungi video yozuvi kanalga tashlanadimi?,ham,adapted,telegram group / work / general
Kim pythonni zo'r biladi? Savol bor edi,ham,adapted,telegram group / work / general
"Assalomu alaykum ustoz, uy vazifasini tekshirib bera olasizmi?",ham,adapted,telegram group / work / general
"Yusuf qayerdasan, aloqaga chiq",ham,adapted,telegram group / work / general
"Ovozingiz eshitilmayapti, mikrofonni yoqing",ham,adapted,telegram group / work / general
"Bot qotib qoldi shekilli, ishlamayapti",ham,adapted,telegram group / work / general
Rasmga tushib guruhga tashlab qo'yinglar,ham,adapted,telegram group / work / general
Ertangi majlis qoldirildi,ham,adapted,telegram group / work / general
"Ob havo sovuq bo'lyapti, issiq kiyinib oling",ham,adapted,telegram group / work / general
Kanaldagi yangiliklarni o'qidingizmi?,ham,adapted,telegram group / work / general
Javobingiz uchun katta rahmat!,ham,adapted,telegram group / work / general
"Tushunarli, xop",ham,adapted,telegram group / work / general
Aka lokatsiya tashlang,ham,adapted,telegram group / work / general
"Oq yo'l, yaxshi yetib boring",ham,adapted,telegram group / work / general
Mana shu ssilkadan kirib registratsiya qilinarkan,ham,adapted,telegram group / work / general
Kim ertaga Toshkentdan vodiyga ketyapti? Pochta bor edi,ham,adapted,telegram group / work / general
"Yangi kino chiqibdi, ko'rdinglarmi?",ham,adapted,telegram group / work / general
Qanday yordam bera olaman?,ham,adapted,telegram group / work / general
"Iltimos, shaxsiyga yozmang guruhda hal qilamiz",ham,adapted,telegram group / work / general
Ovozlarga ishonib bo'lmaydi hozirgi paytda,ham,adapted,telegram group / work / general
Abituriyentlar diqqatiga: qabul boshlandi,ham,adapted,telegram group / work / general
Uyga vazifa 5-mashq,ham,adapted,telegram group / work / general
"Kichkina qizcham tug'ildi, duo qilib qo'yinglar!",ham,adapted,telegram group / work / general
"Stol band qilingan, 6 kishilik",ham,adapted,telegram group / work / general
"Buyurtmangiz tayyor, olib ketishingiz mumkin",ham,adapted,telegram group / work / general
"Yandexdan jo'natvordim, chiqib olin",ham,adapted,telegram group / work / general
To'lovni payme dan qilsam bo'ladimi?,ham,adapted,telegram group / work / general
Aloqadamisiz? Bitta savol bor edi,ham,adapted,telegram group / work / general
Sizga bepul Telegram Premium sovg'a qilishdi! Olish uchun linkni bosing: t.me/premium-fake-bot,scam,adapted,phishing / promo / voice vote / appeal
"Qizim rasm chizish tanlovida qatnashyapti, iltimos shu ssilkaga kirib ovoz bering",scam,adapted,phishing / promo / voice vote / appeal
