text,risk_label,intent_label,tags,language,source,clean_text
"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",DANGEROUS,REQUEST,,en,sms,your free ringtone is waiting to be collected. simply text the password mix to 85069 to verify. get usher and britney. fml po box 5249 mk17 92h. 450ppw 16
"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",DANGEROUS,REQUEST,,en,sms,your free ringtone is waiting to be collected. simply text the password mix to 85069 to verify. get usher and britney. fml
Diqqat! Plastik kartangiz bloklandi. Qayta tiklash uchun shaxsiy ma'lumotlaringizni kiriting: bit.ly/uzcard-block,DANGEROUS,REQUEST,,uz,sms,diqqat plastik karta ngiz bloklandi. qayta tiklash uchun shaxsiy ma lumotlaringizni kiriting: bit.ly/uz card block
UzMobile: Sizning raqamingiz g'olib bo'ldi. Sovrinni olish uchun SMS dagi kodni 1122 ga yuboring,DANGEROUS,REQUEST,prize_bait,uz,sms,uzmobile: sizning raqamingiz g olib bo ldi. sovrinni olish uchun sms dagi kod ni 1122 ga yuboring
Karta ma'lumotlaringiz xavf ostida! Himoyalash uchun PIN kodingizni kiriting,DANGEROUS,REQUEST,,uz,sms,karta ma lumotlaringiz xavf ostida himoyalash uchun pin kod ingizni kiriting
Siz lotereya g'olibisiz. Yutuq kodini adminlarga yuboring va mukofotni oling,DANGEROUS,REQUEST,prize_bait,uz,sms,siz lotereya g olibisiz. yutuq kod ini adminlarga yuboring va mukofotni oling
Olx.uz: Xaridor sizning tovaringizni sotib oldi. Pulni olish uchun karta raqamingizni kiriting,DANGEROUS,REQUEST,,uz,sms,olx.uz: xaridor sizning tovaringizni sotib oldi. pulni olish uchun karta raqamingizni kiriting
SMS kod yuboring va mukofot oling,DANGEROUS,REQUEST,,uz,sms,sms kod yuboring va mukofot oling
Kartangiz bloklandi. Qayta tiklash uchun malumotlarni kiriting: http://bit.ly/uz-1945942,DANGEROUS,REQUEST,,uz,sms,karta ngiz bloklandi. qayta tiklash uchun malumotlarni kiriting: http://bit.ly/uz 1945942
Kartangiz bloklandi. Qayta tiklash uchun malumotlarni kiriting: http://bonus-uz.com/id/7669406,DANGEROUS,REQUEST,,uz,sms,karta ngiz bloklandi. qayta tiklash uchun malumotlarni kiriting: http://bonus uz.com/id/7669406
Kartangiz bloklandi. Qayta tiklash uchun malumotlarni kiriting: https://click-auth.uz/code=4748285,DANGEROUS,REQUEST,,uz,telegram,karta ngiz bloklandi. qayta tiklash uchun malumotlarni kiriting: https://click auth.uz/ code 4748285
