text,language_orig,source_dataset,original_label,normalized_text,source_lang_dataset,label_unified,language_detected,language_fixed,language_confidence,is_maj,lp,cp
Pul o'tkazib yubordim,en,master_semantic_dataset_v7.csv,SAFE|UNKNOWN,pul o'tkazib yubordim,en,SAFE,uz,uz,low,True,1,3
Kartaga pul tushdimi?,en,master_semantic_dataset_v7.csv,SAFE|UNKNOWN,kartaga pul tushdimi?,en,SAFE,uz,uz,low,True,1,3
Pul o'tkazmasi bekor qilindi. Qayta faollashtiring,en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,pul o'tkazmasi bekor qilindi. qayta faollashtiring,en,SUSPICIOUS,uz,uz,low,True,1,3
Siz tanlangan mijozsiz. Mukofotni oling,en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,siz tanlangan mijozsiz. mukofotni oling,en,SUSPICIOUS,uz,uz,low,True,1,3
Pul yechib olish rad etildi. Sababini bilish uchun kiring,en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,pul yechib olish rad etildi. sababini bilish uchun kiring,en,SUSPICIOUS,uz,uz,low,True,1,3
Sizga pul o'tkazildi. Qabul qilish uchun tasdiqlang,en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,sizga pul o'tkazildi. qabul qilish uchun tasdiqlang,en,SUSPICIOUS,uz,uz,low,True,1,3
"Tabriklaymiz! Siz 10,000,000 so'm yutib oldingiz. Pulni olish uchun shu ssilkaga kiring: http://fake-link.uz",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"tabriklaymiz! siz 10,000,000 so'm yutib oldingiz. pulni olish uchun shu ssilkaga kiring: http://fake-link.uz",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 500,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun quyidagi havolani bosing: humo-pay.uz",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 500,000 so'm pul o'tkazmasi keldi. qabul qilish uchun quyidagi havolani bosing: humo-pay.uz",en,SUSPICIOUS,uz,uz,low,True,1,3
Siz tanlandingiz! Oyiga 5000$ topish siri. Telegram guruhimizga qo'shiling: t.me/scamgroup,en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,siz tanlandingiz! oyiga 5000$ topish siri. telegram guruhimizga qo'shiling: t.me/scamgroup,en,SUSPICIOUS,uz,uz,low,True,1,3
"PayMe: Sizning parolingiz o'zgartirildi. Agar siz o'zgartirmagan bo'lsangiz, havolaga kiring",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"payme: sizning parolingiz o'zgartirildi. agar siz o'zgartirmagan bo'lsangiz, havolaga kiring",en,SUSPICIOUS,uz,uz,low,True,1,3
Bolam kasal bo'lib qoldi pul o'tkazing,en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,bolam kasal bo'lib qoldi pul o'tkazing,en,SUSPICIOUS,uz,uz,low,True,1,3
"Siz kanalimizning 10,000-chi a'zosiga aylandingiz! Sizga 50 dollar mukofot. Karta raqamingizni tashlang",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"siz kanalimizning 10,000-chi a'zosiga aylandingiz! sizga 50 dollar mukofot. karta raqamingizni tashlang",en,SUSPICIOUS,uz,uz,low,True,1,3
"Tezda pul ishlashni xohlaysizmi? Kuniga 2-3 soat vaqt ajrating, oyiga 1000$ daromad",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"tezda pul ishlashni xohlaysizmi? kuniga 2-3 soat vaqt ajrating, oyiga 1000$ daromad",en,SUSPICIOUS,uz,uz,low,True,1,3
"Shu guruhdan chiqib keting, ular firibgar! Haqiqiy pul beradigan kanal mana budir:",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"shu guruhdan chiqib keting, ular firibgar! haqiqiy pul beradigan kanal mana budir:",en,SUSPICIOUS,uz,uz,low,True,1,3
"Salom, men chet ellik harbiyman, Afg'onistonda xizmat qilyapman. Menga ishonchli odam kerak Pul jo'natish uchun",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"salom, men chet ellik harbiyman, afg'onistonda xizmat qilyapman. menga ishonchli odam kerak pul jo'natish uchun",en,SUSPICIOUS,uz,uz,low,True,1,3
