text,language,source_dataset,original_label,normalized_text
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",en,sms_spam_collection.txt,ham,"go until jurong point, crazy.. available only in bugis n great world la e buffet... cine there got amore wat..."
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,en,sms_spam_collection.txt,spam,free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005. text fa to 87121 to receive entry question(std txt rate)t&c's apply 08452810075over18's
"Nah I don't think he goes to usf, he lives around here though",en,sms_spam_collection.txt,ham,"nah i don't think he goes to usf, he lives around here though"
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",en,sms_spam_collection.txt,spam,"freemsg hey there darling it's been 3 week's now and no word back! i'd like some fun you up for it still? tb ok! xxx std chgs to send, £1.50 to rcv"
Even my brother is not like to speak with me. They treat me like aids patent.,en,sms_spam_collection.txt,ham,even my brother is not like to speak with me. they treat me like aids patent.
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,en,sms_spam_collection.txt,ham,as per your request 'melle melle (oru minnaminunginte nurungu vettam)' has been set as your callertune for all callers. press *9 to copy your friends callertune
WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,en,sms_spam_collection.txt,spam,winner!! as a valued network customer you have been selected to receivea £900 prize reward! to claim call 09061701461. claim code kl341. valid 12 hours only.
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",en,sms_spam_collection.txt,ham,"i'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? i've cried enough today."
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",en,sms_spam_collection.txt,spam,"six chances to win cash! from 100 to 20,000 pounds txt> csh11 and send to 87575. cost 150p/day, 6days, 16+ tsandcs apply reply hl 4 info"
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",en,sms_spam_collection.txt,spam,"urgent! you have won a 1 week free membership in our £100,000 prize jackpot! txt the word: claim to no: 81010 t&c www.dbuk.net lccltd pobox 4403ldnw1a7rw18"
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,en,sms_spam_collection.txt,ham,i've been searching for the right words to thank you for this breather. i promise i wont take your help for granted and will fulfil my promise. you have been wonderful and a blessing at all times.
I HAVE A DATE ON SUNDAY WITH WILL!!,en,sms_spam_collection.txt,ham,i have a date on sunday with will!!
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",en,sms_spam_collection.txt,spam,"xxxmobilemovieclub: to use your credit, click the wap link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=qjkgighjjgcbl"
Oh k...i'm watching here:),en,sms_spam_collection.txt,ham,oh k...i'm watching here:)
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",en,sms_spam_collection.txt,spam,"england v macedonia - dont miss the goals/team news. txt ur national team to 87077 eg england to 87077 try:wales, scotland 4txt/ú1.20 poboxox36504w45wq 16+"
Is that seriously how you spell his name?,en,sms_spam_collection.txt,ham,is that seriously how you spell his name?
I‘m going to try for 2 months ha ha only joking,en,sms_spam_collection.txt,ham,i'm going to try for 2 months ha ha only joking
So ü pay first lar... Then when is da stock comin...,en,sms_spam_collection.txt,ham,so ü pay first lar... then when is da stock comin...
Ffffffffff. Alright no way I can meet up with you sooner?,en,sms_spam_collection.txt,ham,ffffffffff. alright no way i can meet up with you sooner?
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,en,sms_spam_collection.txt,ham,just forced myself to eat a slice. i'm really not hungry tho. this sucks. mark is getting worried. he knows i'm sick when i turn down pizza. lol
Lol your always so convincing.,en,sms_spam_collection.txt,ham,lol your always so convincing.
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,en,sms_spam_collection.txt,ham,did you catch the bus ? are you frying an egg ? did you make a tea? are you eating your mom's left over dinner ? do you feel my love ?
"I'm back &amp; we're packing the car now, I'll let you know if there's room",en,sms_spam_collection.txt,ham,"i'm back &amp; we're packing the car now, i'll let you know if there's room"
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,en,sms_spam_collection.txt,ham,ahhh. work. i vaguely remember that! what does it feel like? lol
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",en,sms_spam_collection.txt,ham,"wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,en,sms_spam_collection.txt,ham,yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. till 2! but we won't go there! not doing too badly cheers. you?
K tell me anything about you.,en,sms_spam_collection.txt,ham,k tell me anything about you.
For fear of fainting with the of all that housework you just did? Quick have a cuppa,en,sms_spam_collection.txt,ham,for fear of fainting with the of all that housework you just did? quick have a cuppa
Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,en,sms_spam_collection.txt,spam,thanks for your subscription to ringtone uk your mobile will be charged £5/month please confirm by replying yes or no. if you reply no you will not be charged
