text,normalized_text,label_unified,language_fixed,language_confidence,source_dataset
Iltimos yordam yuboring,iltimos yordam yuboring,SAFE,uz,high,messages_cleaned.csv
Pul o'tkazib yubordim,pul o'tkazib yubordim,SAFE,uz,high,messages_cleaned.csv
Siz yutuqli o‘yinda g‘olib bo‘ldingiz. Tezda javob bering,siz yutuqli o'yinda g'olib bo'ldingiz. tezda javob bering,DANGEROUS,uz,high,messages_cleaned.csv
Pul o'tkazmasi bekor qilindi. Qayta faollashtiring,pul o'tkazmasi bekor qilindi. qayta faollashtiring,DANGEROUS,uz,high,messages_cleaned.csv
Siz tanlangan mijozsiz. Mukofotni oling,siz tanlangan mijozsiz. mukofotni oling,DANGEROUS,uz,high,messages_cleaned.csv
Pul yechib olish rad etildi. Sababini bilish uchun kiring,pul yechib olish rad etildi. sababini bilish uchun kiring,DANGEROUS,uz,high,messages_cleaned.csv
Sizga pul o'tkazildi. Qabul qilish uchun tasdiqlang,sizga pul o'tkazildi. qabul qilish uchun tasdiqlang,DANGEROUS,uz,high,messages_cleaned.csv
Hisobingizga pul tushdi,hisobingizga pul tushdi,SAFE,uz,high,messages_cleaned.csv
Kartaga pul tushdimi?,kartaga pul tushdimi?,SAFE,uz,high,messages_cleaned_v2.csv
"Tabriklaymiz! Siz 10,000,000 so'm yutib oldingiz. Pulni olish uchun shu ssilkaga kiring: http://fake-link.uz","tabriklaymiz! siz 10,000,000 so'm yutib oldingiz. pulni olish uchun shu ssilkaga kiring: http://fake-link.uz",DANGEROUS,uz,high,messages_cleaned_v2.csv
"Sizga 500,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun quyidagi havolani bosing: humo-pay.uz","sizga 500,000 so'm pul o'tkazmasi keldi. qabul qilish uchun quyidagi havolani bosing: humo-pay.uz",DANGEROUS,uz,high,messages_cleaned_v2.csv
Siz tanlandingiz! Oyiga 5000$ topish siri. Telegram guruhimizga qo'shiling: t.me/scamgroup,siz tanlandingiz! oyiga 5000$ topish siri. telegram guruhimizga qo'shiling: t.me/scamgroup,DANGEROUS,uz,high,messages_cleaned_v2.csv
UzMobile: Sizning raqamingiz g'olib bo'ldi. Sovrinni olish uchun SMS dagi kodni 1122 ga yuboring,uzmobile: sizning raqamingiz g'olib bo'ldi. sovrinni olish uchun sms dagi kodni 1122 ga yuboring,DANGEROUS,uz,high,messages_cleaned_v2.csv
"Iltimos ovoz berib yuboring, qizim konkursda qatnashyapti: fake-ovoz.uz","iltimos ovoz berib yuboring, qizim konkursda qatnashyapti: fake-ovoz.uz",DANGEROUS,uz,high,messages_cleaned_v2.csv
"PayMe: Sizning parolingiz o'zgartirildi. Agar siz o'zgartirmagan bo'lsangiz, havolaga kiring","payme: sizning parolingiz o'zgartirildi. agar siz o'zgartirmagan bo'lsangiz, havolaga kiring",DANGEROUS,uz,high,messages_cleaned_v2.csv
Siz lotereya g'olibisiz. Yutuq kodini adminlarga yuboring va mukofotni oling,siz lotereya g'olibisiz. yutuq kodini adminlarga yuboring va mukofotni oling,DANGEROUS,uz,high,messages_cleaned_v2.csv
Ushbu SMS ni 10 ta odamga yuboring va sizga baxt kulib boqadi (va balansingizga pul tushadi),ushbu sms ni 10 ta odamga yuboring va sizga baxt kulib boqadi (va balansingizga pul tushadi),DANGEROUS,uz,high,messages_cleaned_v2.csv
Raqamingizni yuboring,raqamingizni yuboring,SAFE,uz,high,messages_cleaned_v2.csv
Iltimos qo'ng'iroq qilib yuboring,iltimos qo'ng'iroq qilib yuboring,SAFE,uz,high,messages_cleaned_v2.csv
SMS kod yuboring va mukofot oling,sms kod yuboring va mukofot oling,DANGEROUS,uz,high,messages_cleaned_v2.csv
Bolam kasal bo'lib qoldi pul o'tkazing,bolam kasal bo'lib qoldi pul o'tkazing,DANGEROUS,uz,high,messages_cleaned_v2.csv
Telegram profilingiz shikoyatlar tufayli bloklanmoqda. Tasdiqlash uchun botga shaxsiy raqamingizni yuboring,telegram profilingiz shikoyatlar tufayli bloklanmoqda. tasdiqlash uchun botga shaxsiy raqamingizni yuboring,DANGEROUS,uz,high,messages_cleaned_v2.csv
"Iltimos ovoz berib yuboring, bitta ovoz qoldi yutishiga","iltimos ovoz berib yuboring, bitta ovoz qoldi yutishiga",DANGEROUS,uz,high,messages_cleaned_v2.csv
"Siz kanalimizning 10,000-chi a'zosiga aylandingiz! Sizga 50 dollar mukofot. Karta raqamingizni tashlang","siz kanalimizning 10,000-chi a'zosiga aylandingiz! sizga 50 dollar mukofot. karta raqamingizni tashlang",DANGEROUS,uz,high,messages_cleaned_v2.csv
Telegram Stars bepul oling! Faqat botga start bosing va 3 ta do'stingizga yuboring,telegram stars bepul oling! faqat botga start bosing va 3 ta do'stingizga yuboring,DANGEROUS,uz,high,messages_cleaned_v2.csv
Bu xabarni 10 ta gruppaga yuboring va sizning balansingizga 10.000 so'm tushadi,bu xabarni 10 ta gruppaga yuboring va sizning balansingizga 10.000 so'm tushadi,DANGEROUS,uz,high,messages_cleaned_v2.csv
"Tezda pul ishlashni xohlaysizmi? Kuniga 2-3 soat vaqt ajrating, oyiga 1000$ daromad","tezda pul ishlashni xohlaysizmi? kuniga 2-3 soat vaqt ajrating, oyiga 1000$ daromad",DANGEROUS,uz,high,messages_cleaned_v2.csv
Diqqat! Telegram pullik bo'lmoqda. Bepul versiyada qolish uchun bu xabarni 5 kishiga yuboring,diqqat! telegram pullik bo'lmoqda. bepul versiyada qolish uchun bu xabarni 5 kishiga yuboring,DANGEROUS,uz,high,messages_cleaned_v2.csv
"Shu guruhdan chiqib keting, ular firibgar! Haqiqiy pul beradigan kanal mana budir:","shu guruhdan chiqib keting, ular firibgar! haqiqiy pul beradigan kanal mana budir:",DANGEROUS,uz,high,messages_cleaned_v2.csv
"Salom, men chet ellik harbiyman, Afg'onistonda xizmat qilyapman. Menga ishonchli odam kerak Pul jo'natish uchun","salom, men chet ellik harbiyman, afg'onistonda xizmat qilyapman. menga ishonchli odam kerak pul jo'natish uchun",DANGEROUS,uz,high,messages_cleaned_v2.csv
Hammasi bepul! Siz hech narsa yo'qotmaysiz. Ssilkaga kiring va ko'ring!,hammasi bepul! siz hech narsa yo'qotmaysiz. ssilkaga kiring va ko'ring!,DANGEROUS,uz,high,messages_cleaned_v2.csv
TikTok da like bosish orqali pul ishlash. Kuniga 300 ming so'm! Menejerga yozing,tiktok da like bosish orqali pul ishlash. kuniga 300 ming so'm! menejerga yozing,DANGEROUS,uz,high,messages_cleaned_v2.csv
Siz Premium obuna yutib oldingiz! Ko'rish uchun kiring,siz premium obuna yutib oldingiz! ko'rish uchun kiring,DANGEROUS,uz,high,messages_cleaned_v2.csv
Tik-Tok prosmotr uchun pul beriladi. Yozing,tik-tok prosmotr uchun pul beriladi. yozing,DANGEROUS,uz,high,messages_cleaned_v2.csv
Siz 1000$ dollar grant golibisiz. Shaxsiyga o'ting,siz 1000$ dollar grant golibisiz. shaxsiyga o'ting,DANGEROUS,uz,high,messages_cleaned_v2.csv
Men harbiyman Amerikadan. Pul jo'natmoqchiman qabul qil,men harbiyman amerikadan. pul jo'natmoqchiman qabul qil,DANGEROUS,uz,high,messages_cleaned_v2.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 600). Tasdiqlash uchun havolaga kiring: bit.ly/karta-ochish?id=0,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 600). tasdiqlash uchun havolaga kiring: bit.ly/karta-ochish?id=0,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 817). Tasdiqlash uchun havolaga kiring: http://banck-uz.com?id=1,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 817). tasdiqlash uchun havolaga kiring: http://banck-uz.com?id=1,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 969). Tasdiqlash uchun havolaga kiring: bit.ly/karta-ochish?id=2,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 969). tasdiqlash uchun havolaga kiring: bit.ly/karta-ochish?id=2,DANGEROUS,uz,high,messages_cleaned_v3.csv
