text,source,label,clean_text
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",sms,ham,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat
Ok lar... Joking wif u oni...,sms,ham,ok lar joking wif u oni
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,sms,scam,free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005 text fa to 87121 to receive entry question std txt rate t c s apply over18 s
U dun say so early hor... U c already then say...,sms,ham,u dun say so early hor u c already then say
"Nah I don't think he goes to usf, he lives around here though",sms,ham,nah i don t think he goes to usf he lives around here though
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",sms,scam,freemsg hey there darling it s been 3 week s now and no word back i d like some fun you up for it still tb ok xxx std chgs to send 1 50 to rcv
Even my brother is not like to speak with me. They treat me like aids patent.,sms,ham,even my brother is not like to speak with me they treat me like aids patent
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,sms,ham,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press 9 to copy your friends callertune
WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,sms,scam,winner as a valued network customer you have been selected to receivea 900 prize reward to claim call claim code kl341 valid 12 hours only
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,sms,scam,had your mobile 11 months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",sms,ham,i m gonna be home soon and i don t want to talk about this stuff anymore tonight k i ve cried enough today
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",sms,scam,six chances to win cash from 100 to 20 000 pounds txt csh11 and send to 87575 cost 150p day 6days 16 tsandcs apply reply hl 4 info
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",sms,scam,urgent you have won a 1 week free membership in our 100 000 prize jackpot txt the word claim to no 81010 t c lccltd pobox 4403ldnw1a7rw18
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,sms,ham,i ve been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times
I HAVE A DATE ON SUNDAY WITH WILL!!,sms,ham,i have a date on sunday with will
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",sms,scam,xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here xxxmobilemovieclub com n qjkgighjjgcbl
Oh k...i'm watching here:),sms,ham,oh k i m watching here
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,sms,ham,eh u remember how 2 spell his name yes i did he v naughty make until i v wet
Fine if thats the way u feel. Thats the way its gota b,sms,ham,fine if that s the way u feel that s the way its gota b
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",sms,scam,england v macedonia dont miss the goals team news txt ur national team to 87077 eg england to 87077 try wales scotland 4txt ú1 20 poboxox36504w45wq 16
Is that seriously how you spell his name?,sms,ham,is that seriously how you spell his name
I‘m going to try for 2 months ha ha only joking,sms,ham,i m going to try for 2 months ha ha only joking
So ü pay first lar... Then when is da stock comin...,sms,ham,so ü pay first lar then when is da stock comin
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,sms,ham,aft i finish my lunch then i go str down lor ard 3 smth lor u finish ur lunch already
Ffffffffff. Alright no way I can meet up with you sooner?,sms,ham,ffffffffff alright no way i can meet up with you sooner
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,sms,ham,just forced myself to eat a slice i m really not hungry tho this sucks mark is getting worried he knows i m sick when i turn down pizza lol
