text,normalized_text,label_unified,language_fixed,language_confidence,source_dataset
Срочно требуются 2 человека. Прибыльность от 16 тыс.рублей в день.Удаленка.За подробностями + в ЛС,срочно требуются 2 человека. прибыльность от 16 тыс.рублей в день.удаленка.за подробностями + в лс,DANGEROUS,ru,high,messages_cleaned.csv
"Выходи на доход от 80 долларов в час. Есть несколько свободных места, пишите хочу в личные сообщения","выходи на доход от 80 долларов в час. есть несколько свободных места, пишите хочу в личные сообщения",DANGEROUS,ru,high,messages_cleaned.csv
Здрастуйте. Доход от 500 доларов в неделю. Есть желание попробовать? Пишите старт в личные сообщения,здрастуйте. доход от 500 доларов в неделю. есть желание попробовать? пишите старт в личные сообщения,DANGEROUS,ru,high,messages_cleaned.csv
Требуются 2 человека. Заработок от 16 тыс. рублей в день.Удаленка.Напишите в ЛС!,требуются 2 человека. заработок от 16 тыс. рублей в день.удаленка.напишите в лс!,DANGEROUS,ru,high,messages_cleaned.csv
"Срочно ищем новых партнеров для УДАЛЕННОГО заработка.
Прибыль каждый день от 100-140$, белый вид дохода
Нужно 1-3 часа в день!
Принимаем как с опытом, так и без.

Возраст от 25 лет!! 

Пишите ""+"" в лс!","срочно ищем новых партнеров для удаленного заработка. прибыль каждый день от 100-140$, белый вид дохода нужно 1-3 часа в день! принимаем как с опытом, так и без. возраст от 25 лет!! пишите ""+"" в лс!",DANGEROUS,ru,high,messages_cleaned.csv
"Здравствуйте. Хорошая возможность получать 400 долларов в час доступна уже сейчас. Напиши мне интересно расскажу, как начать","здравствуйте. хорошая возможность получать 400 долларов в час доступна уже сейчас. напиши мне интересно расскажу, как начать",DANGEROUS,ru,high,messages_cleaned.csv
"Нужны люди в команду. Приятный ЗАРАБОТОК от 200 $ в день. Если интересует подробная информация "" + "" в лс","нужны люди в команду. приятный заработок от 200 $ в день. если интересует подробная информация "" + "" в лс",DANGEROUS,ru,high,messages_cleaned.csv
"Доход от $100 в день без риска и серых схем
? Легально, прозрачно, без вложений в казино и сомнительные проекты
? Работает для всех — идеальный вариант для занятых людей 30+
? Ты контролируешь процесс, а деньги капают 24/7","доход от $100 в день без риска и серых схем ? легально, прозрачно, без вложений в казино и сомнительные проекты ? работает для всех — идеальный вариант для занятых людей 30+ ? ты контролируешь процесс, а деньги капают 24/7",DANGEROUS,ru,high,messages_cleaned.csv
Требуются 2 человека. Заработок от 16 тыс. рублей в день.Удаленка.Подробности в ЛС.,требуются 2 человека. заработок от 16 тыс. рублей в день.удаленка.подробности в лс.,DANGEROUS,ru,high,messages_cleaned.csv
"Ищу людей, возьму 2-3 человека. 18+ удаленная деятельность. От 250$ в день. Кому интересно + в ЛС","ищу людей, возьму 2-3 человека. 18+ удаленная деятельность. от 250$ в день. кому интересно + в лс",DANGEROUS,ru,high,messages_cleaned.csv
"🔤🔤🔤🔤🔤🔤🔤🔤🔤🔤

❗️❗️❗️ТРЕБУЮТСЯ ЛЮДИ❗️❗️❗️
💵Высокая ЗП
✍️Свободный гр@USERNAME_REDACTED ☹️☺️😣часа  в день
😜Забирай – дост@USERNAME_REDACTED – з@USERNAME_REDACTED@USERNAME_REDACTED
🔝Курьер – это легко и выгодно!

🙊🙊😳🙊🙊🙊🙊🙊🙊",🔤🔤🔤🔤🔤🔤🔤🔤🔤🔤 ❗️❗️❗️требуются люди❗️❗️❗️ 💵высокая зп ✍️свободный гр@username_redacted ☹️☺️😣часа в день 😜забирай – дост@username_redacted – з@username_redacted@username_redacted 🔝курьер – это легко и выгодно! 🙊🙊😳🙊🙊🙊🙊🙊🙊,DANGEROUS,ru,high,messages_cleaned.csv
"Предлагаю стабильное сотрудничество с привлекательными условиями! Доход не ограничен, обучение — бесплатно. Все детали в ЛС!","предлагаю стабильное сотрудничество с привлекательными условиями! доход не ограничен, обучение — бесплатно. все детали в лс!",DANGEROUS,ru,high,messages_cleaned.csv
"Привет, нужны 2 человека ,все с телефона, или  компьютера. От 220 $ в день. Удалённая занятость , пиши + в лс","привет, нужны 2 человека ,все с телефона, или компьютера. от 220 $ в день. удалённая занятость , пиши + в лс",DANGEROUS,ru,high,messages_cleaned.csv
"Приветствую. Хочешь выйти на доход 400 долларов в неделю? Пишите в личные сообщение, расскажу детали. Осталось несколько  свободных мест","приветствую. хочешь выйти на доход 400 долларов в неделю? пишите в личные сообщение, расскажу детали. осталось несколько свободных мест",DANGEROUS,ru,high,messages_cleaned.csv
