text,label,clean_text
Hisobingiz vaqtincha bloklandi. Tiklash uchun havolani bosing,scam,hisobingiz vaqtincha bloklandi tiklash uchun havolani bosing
Bank kartangiz muzlatildi. Ma'lumotlaringizni tasdiqlang,scam,bank kartangiz muzlatildi ma lumotlaringizni tasdiqlang
Yutdingiz! 5 000 000 so'm mukofotni olish uchun formani to'ldiring,scam,yutdingiz so m mukofotni olish uchun formani to ldiring
Siz yutuqli o‘yinda g‘olib bo‘ldingiz. Tezda javob bering,scam,siz yutuqli o‘yinda g‘olib bo‘ldingiz tezda javob bering
Hisobingizga ruxsatsiz kirish aniqlandi. Zudlik bilan tasdiqlang,scam,hisobingizga ruxsatsiz kirish aniqlandi zudlik bilan tasdiqlang
Kredit qarzingiz sabab hisobingiz yopiladi,scam,kredit qarzingiz sabab hisobingiz yopiladi
Bank xavfsizlik xizmati: havola orqali tekshiruvdan o'ting,scam,bank xavfsizlik xizmati havola orqali tekshiruvdan o ting
Soliq qarzingiz bor. Bugun to'lamasangiz jarima,scam,soliq qarzingiz bor bugun to lamasangiz jarima
Pul o'tkazmasi bekor qilindi. Qayta faollashtiring,scam,pul o tkazmasi bekor qilindi qayta faollashtiring
Akkauntingiz bloklanish arafasida,scam,akkauntingiz bloklanish arafasida
Chegirma yutib oldingiz. Hoziroq foydalaning,scam,chegirma yutib oldingiz hoziroq foydalaning
Siz tanlangan mijozsiz. Mukofotni oling,scam,siz tanlangan mijozsiz mukofotni oling
Kartangizdan shubhali operatsiya amalga oshirildi,scam,kartangizdan shubhali operatsiya amalga oshirildi
Bonus olish uchun ma'lumot kiriting,scam,bonus olish uchun ma lumot kiriting
Bank yangilanishi. Hisobni tasdiqlang,scam,bank yangilanishi hisobni tasdiqlang
Hisobingizga kirish vaqtincha cheklangan,scam,hisobingizga kirish vaqtincha cheklangan
Yangi to'lov tizimi. Profilingizni yangilang,scam,yangi to lov tizimi profilingizni yangilang
Pul yechib olish rad etildi. Sababini bilish uchun kiring,scam,pul yechib olish rad etildi sababini bilish uchun kiring
Sizga pul o'tkazildi. Qabul qilish uchun tasdiqlang,scam,sizga pul o tkazildi qabul qilish uchun tasdiqlang
Akkaunt tekshiruvi talab qilinadi,scam,akkaunt tekshiruvi talab qilinadi
"Salom, bugun kechroq kelaman",ham,salom bugun kechroq kelaman
Ertaga uchrashamizmi?,ham,ertaga uchrashamizmi
"Iltimos, menga qo'ng'iroq qil",ham,iltimos menga qo ng iroq qil
Bugun dars soat nechida boshlanadi?,ham,bugun dars soat nechida boshlanadi
Yo'lda tirbandlik bor ekan,ham,yo lda tirbandlik bor ekan
Uyga non olib kel,ham,uyga non olib kel
"Rahmat, xabaringni oldim",ham,rahmat xabaringni oldim
"Kechirasan, biroz kechikaman",ham,kechirasan biroz kechikaman
Bugun ishlay olmayman,ham,bugun ishlay olmayman
Hujjatlarni ertaga topshiraman,ham,hujjatlarni ertaga topshiraman
"Salom, qalaysan?",ham,salom qalaysan
Bugun sport zalga boramizmi,ham,bugun sport zalga boramizmi
Hisobingizga pul tushdi,ham,hisobingizga pul tushdi
Ishdan keyin gaplashamiz,ham,ishdan keyin gaplashamiz
Yaxshi yetib oldim,ham,yaxshi yetib oldim
Ertaga yig'ilish bor,ham,ertaga yig ilish bor
Bugun havo sovuq ekan,ham,bugun havo sovuq ekan
Telefonim o'chib qoladi,ham,telefonim o chib qoladi
Uyga qachon kelasiz,ham,uyga qachon kelasiz
"Rahmat, yordam uchun",ham,rahmat yordam uchun
