idx,text_preview,existing_lang,detected_lang,method,source
53385,"Menga 1650,000 so'm tashlab tura olasanmi?...",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53386,Bugun 15:30 da ko'rishamiz..,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53387,Dam olish kuningiz maroqli o'tsin,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53397,Bugun 20:00 da ko'rishamiz.?,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53404,Bugun 14:00 da ko'rishamiz. tezroq,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53422,Bugun 19:30 da ko'rishamiz.?,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53436,go'sht narxi qancha ekan hozir?.,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53439,Bugun 8:45 da ko'rishamiz.!,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53447,Bugun 10:00 da ko'rishamiz. tezroq,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53449,Guruhga yangi a'zolarni qo'shmanglar iltimos,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53455,Bugun 12:30 da ko'rishamiz.?,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53460,"Menga 150,000 so'm tashlab tura olasanmi? tezroq",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53471,Bugun 12:45 da ko'rishamiz.!,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53489,Bugun 15:00 da ko'rishamiz.?,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53501,Bugun 17:00 da ko'rishamiz..,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53519,"Menga 1460,000 so'm tashlab tura olasanmi? tezroq",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53529,Bugun 14:15 da ko'rishamiz....,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53532,"Menga 360,000 so'm tashlab tura olasanmi?!",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
