text,risk_label,intent_label,tags,language,source,clean_text
Abituriyentlar diqqatiga: qabul boshlandi,SAFE,UNKNOWN,,en,telegram,abituriyentlar diqqatiga qabul boshlandi
New car and house for my parents.:)i have only new job in hand:),SAFE,UNKNOWN,,en,sms,new car and house for my parents i have only new job in hand
ÃÃ bot notes oredi... Cos i juz rem i got...,SAFE,UNKNOWN,,en,sms,ã ã bot notes oredi cos i juz rem i got
Not directly behind... Abt 4 rows behind Ã_...,SAFE,UNKNOWN,,en,sms,not directly behind abt 4 rows behind ã _
Do you always celebrate NY's with your family ?,SAFE,UNKNOWN,,en,sms,do you always celebrate ny s with your family
Ok,SAFE,UNKNOWN,,en,sms,ok
No..jst change tat only..,SAFE,UNKNOWN,,en,sms,no jst change tat only
The bus leaves at  &lt;#&gt;,SAFE,UNKNOWN,,en,sms,the bus leaves at lt gt
I like dis sweater fr mango but no more my size already so irritating.,SAFE,UNKNOWN,,en,sms,i like dis sweater fr mango but no more my size already so irritating
Its normally hot mail. Com you see!,SAFE,UNKNOWN,,en,sms,its normally hot mail com you see
You stayin out of trouble stranger!!saw Dave the other day heÃ¥Ãs sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA!,SAFE,UNKNOWN,,en,sms,you stayin out of trouble stranger saw dave the other day heã ã s sorted now still with me bloke when u gona get a girl mr ur mum still thinks we will get 2getha
Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz,SAFE,UNKNOWN,,en,sms,can you call me plz your number shows out of coveragd area i have urgnt call in vasai amp have to reach before 4 o clock so call me plz
No probs hon! How u doinat the mo?,SAFE,UNKNOWN,,en,sms,no probs hon how u doinat the mo
If You mean the website. Yes.,SAFE,UNKNOWN,,en,sms,if you mean the website yes
Bugungi majlis 21:00 ga surildi.?,SAFE,UNKNOWN,,en,sms,bugungi majlis 21 00 ga surildi
Do Ã_ noe if ben is going?,SAFE,UNKNOWN,,en,sms,do ã _ noe if ben is going
Bugungi majlis 21:45 ga surildi. :),SAFE,UNKNOWN,,en,telegram,bugungi majlis 21 45 ga surildi
Segodnya uchrashuv soat nechida? ?,SAFE,UNKNOWN,,en,telegram,segodnya uchrashuv soat nechida
"What will we do in the shower, baby?",SAFE,UNKNOWN,,en,sms,what will we do in the shower baby
Yes princess! I want to please you every night. Your wish is my command...,SAFE,UNKNOWN,,en,sms,yes princess i want to please you every night your wish is my command
Jus finish my lunch on my way home lor... I tot u dun wan 2 stay in sch today...,SAFE,UNKNOWN,,en,sms,jus finish my lunch on my way home lor i tot u dun wan 2 stay in sch today
Well. Im computerless. Time to make some oreo truffles,SAFE,UNKNOWN,,en,sms,well im computerless time to make some oreo truffles
Where is it. Is there any opening for mca.,SAFE,UNKNOWN,,en,sms,where is it is there any opening for mca
How are you. Wish you a great semester,SAFE,UNKNOWN,,en,sms,how are you wish you a great semester
"Menga 1650,000 so'm tashlab tura olasanmi?...",SAFE,UNKNOWN,,en,sms,menga 1650 000 so m tashlab tura olasanmi
Bugun 15:30 da ko'rishamiz..,SAFE,UNKNOWN,,en,sms,bugun 15 30 da ko rishamiz
Dam olish kuningiz maroqli o'tsin,SAFE,UNKNOWN,,en,sms,dam olish kuningiz maroqli o tsin
"Menga 56 000 tashlab ber, ertaga qaytaraman.!!",SAFE,UNKNOWN,,en,sms,menga 56 000 tashlab ber ertaga qaytaraman
Mark works tomorrow. He gets out at 5. His work is by your house so he can meet u afterwards.,SAFE,UNKNOWN,,en,sms,mark works tomorrow he gets out at 5 his work is by your house so he can meet u afterwards
Oh you got many responsibilities.,SAFE,UNKNOWN,,en,sms,oh you got many responsibilities
Ok leave no need to ask,SAFE,UNKNOWN,,en,sms,ok leave no need to ask
Somebody set up a website where you can play hold em using eve online spacebucks,SAFE,UNKNOWN,,en,sms,somebody set up a website where you can play hold em using eve online spacebucks
How are you. Its been ages. How's abj,SAFE,UNKNOWN,,en,sms,how are you its been ages how s abj
Ertaga dars 9:00 da boshlanadi. (,SAFE,UNKNOWN,,en,sms,ertaga dars 9 00 da boshlanadi
either way works for me. I am  &lt;#&gt;  years old. Hope that doesnt bother you.,SAFE,UNKNOWN,,en,sms,either way works for me i am lt gt years old hope that doesnt bother you
"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!",SAFE,UNKNOWN,,en,sms,nice wait should you be texting right now i m not gonna pay your ticket ya know
Bugun 20:00 da ko'rishamiz.?,SAFE,UNKNOWN,,en,sms,bugun 20 00 da ko rishamiz
Babe ? I lost you ... Will you try rebooting ?,SAFE,UNKNOWN,,en,sms,babe i lost you will you try rebooting
Ok no prob...,SAFE,UNKNOWN,,en,sms,ok no prob
Bugungi majlis 19:15 ga surildi.,SAFE,UNKNOWN,,en,telegram,bugungi majlis 19 15 ga surildi
Saw Guys and Dolls last night with Patrick Swayze it was great,SAFE,UNKNOWN,,en,sms,saw guys and dolls last night with patrick swayze it was great
Bugungi majlis 9:30 ga surildi.?,SAFE,UNKNOWN,,en,sms,bugungi majlis 9 30 ga surildi
"Ovqat tayyor, kelaveringlar",SAFE,UNKNOWN,,en,sms,ovqat tayyor kelaveringlar
Bugun 14:00 da ko'rishamiz. tezroq,SAFE,UNKNOWN,,en,telegram,bugun 14 00 da ko rishamiz tezroq
Sounds great! Are you home now?,SAFE,UNKNOWN,,en,sms,sounds great are you home now
"Menga 488 000 tashlab ber, ertaga qaytaraman. (",SAFE,UNKNOWN,,en,sms,menga 488 000 tashlab ber ertaga qaytaraman
"Im sorry bout last nite it wasnÃ¥Ãt ur fault it was me, spouse it was pmt or sumthin! U 4give me? I think u shldxxxx",SAFE,UNKNOWN,,en,sms,im sorry bout last nite it wasnã ã t ur fault it was me spouse it was pmt or sumthin u 4give me i think u shldxxxx
Hai priya are you right. What doctor said pa. Where are you.,SAFE,UNKNOWN,,en,sms,hai priya are you right what doctor said pa where are you
Ertaga soat obid da kutaman.!,SAFE,UNKNOWN,,en,sms,ertaga soat obid da kutaman
"Okey dokey, iÂÃÃ·ll be over in a bit just sorting some stuff out.",SAFE,UNKNOWN,,en,sms,okey dokey iâ ã ã ll be over in a bit just sorting some stuff out
"Good afternoon, my love. It was good to see your words on YM and get your tm. Very smart move, my slave ... *smiles* ... I drink my coffee and await you.",SAFE,UNKNOWN,,en,sms,good afternoon my love it was good to see your words on ym and get your tm very smart move my slave smiles i drink my coffee and await you
Oshga kelasizmi? ?,SAFE,UNKNOWN,,en,telegram,oshga kelasizmi
Just got outta class gonna go gym.,SAFE,UNKNOWN,,en,sms,just got outta class gonna go gym
Bugungi majlis 12:15 ga surildi.!,SAFE,UNKNOWN,,en,telegram,bugungi majlis 12 15 ga surildi
How come i din c Ã_... Yup i cut my hair...,SAFE,UNKNOWN,,en,sms,how come i din c ã _ yup i cut my hair
"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards.",SAFE,UNKNOWN,,en,sms,dear sir salam alaikkum pride and pleasure meeting you today at the tea shop we are pleased to send you our contact number at qatar rakhesh an indian pls save our number respectful regards
Hi mom we might be back later than  &lt;#&gt;,SAFE,UNKNOWN,,en,sms,hi mom we might be back later than lt gt
Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?,SAFE,UNKNOWN,,en,sms,waiting 4 my tv show 2 start lor u leh still busy doing ur report
You dont know you jabo me abi.,SAFE,UNKNOWN,,en,sms,you dont know you jabo me abi
They said ü dun haf passport or smth like dat.. Or ü juz send to my email account..,SAFE,UNKNOWN,,en,sms,they said ü dun haf passport or smth like dat or ü juz send to my email account
Your bill at 3 is Ã¥Â£33.65 so thats not bad!,SAFE,UNKNOWN,,en,sms,your bill at 3 is ã â 33 65 so thats not bad
Bugun 19:30 da ko'rishamiz.?,SAFE,UNKNOWN,,en,sms,bugun 19 30 da ko rishamiz
Zavtra v 12:00 vstrechaemsya.,SAFE,UNKNOWN,,en,sms,zavtra v 12 00 vstrechaemsya
"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over.",SAFE,UNKNOWN,,en,sms,hi hope ur day good back from walk table booked for half eight let me know when ur coming over
Nope... C ü then...,SAFE,UNKNOWN,,en,sms,nope c ü then
Send me your resume:-),SAFE,UNKNOWN,,en,sms,send me your resume
Opajon qandaysiz,SAFE,UNKNOWN,,en,sms,opajon qandaysiz
You know there is. I shall speak to you in  &lt;#&gt;  minutes then,SAFE,UNKNOWN,,en,sms,you know there is i shall speak to you in lt gt minutes then
