text,clean_text,label,language,source,is_synthetic,length,has_url,has_number
Sizning kodingiz: 632783,sizning kodingiz: 632783,SAFE,uz,v10_uzb_foundation,False,24,False,True
An update is available for your acccount...,an update is available for your acccount...,SUSPICIOUS,en,synthetic_suspicious_v1,True,43,False,False
Shifrdan nusxa olindi. Parolni yangilang: https://click-auth.uz/code=9915223,shifrdan nusxa olindi. parolni yangilang: https://click auth.uz/code 9915223,DANGEROUS,en,v10_eng_foundation,False,76,True,True
Special promoiton ending soon...,special promoiton ending soon...,SUSPICIOUS,en,synthetic_suspicious_v1,True,32,False,False
Mening nomerim bilan ovoz bering yutib oling: tanlov13.uz,mening nomerim bilan ovoz bering yutib oling: tanlov13.uz,DANGEROUS,uz,v10_uzb_foundation,False,57,True,True
Sizga 230820 so'm bonus berildi! Olish uchun: http://prize-win.top,sizga 230820 so'm bonus berildi olish uchun: http://prize win.top,SUSPICIOUS,uz,v10_uzb_foundation,False,66,True,True
Savdo qanaqa bugun,savdo qanaqa bugun,SAFE,uz,v10_uzb_foundation,False,18,False,False
"Kind of. Just missed train cos of asthma attack, nxt one in half hr so driving in. not sure where to park.",kind of. just missed train cos of asthma attack nxt one in half hr so driving in. not sure where to park.,SAFE,en,v10_eng_foundation,False,106,False,False
Dunno lei... I thk mum lazy to go out... I neva ask her yet...,dunno lei... i thk mum lazy to go out... i neva ask her yet...,SAFE,en,v10_eng_foundation,False,62,False,False
Ertaga dars soat nechida boshlanadi?,ertaga dars soat nechida boshlanadi,SAFE,uz,v10_uzb_foundation,False,36,False,False
Hisobinigz uchun yangi xavfsizlik talabi mavjud..,hisobinigz uchun yangi xavfsizlik talabi mavjud..,SUSPICIOUS,uz,synthetic_suspicious_v1,True,49,False,False
Balansingiz: 202593 so'm. To'lov muvaffaqiyatli.,balansingiz: 202593 so'm. to'lov muvaffaqiyatli.,SAFE,uz,v10_uzb_foundation,False,48,False,True
FOYDALANUVCHILARGA MAXSUS IMKONIAT TAQDIM ETILMOQDA!,foydalanuvchilarga maxsus imkoniat taqdim etilmoqda,SUSPICIOUS,uz,synthetic_suspicious_v1,True,52,False,False
"Hisobingiz balansi 15,000 so'mdan psat...",hisobingiz balansi 15 000 so'mdan psat...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,41,False,True
Please verify your account within the next 3 days..,please verify your account within the next 3 days..,SUSPICIOUS,en,synthetic_suspicious_v1,True,51,False,True
"Водительские права без экзаменов и автошколы. Все категории, восстановление, медсправки. Быстро, надёжно, оплата после получения!",водительские права без экзаменов и автошколы. все категории восстановление медсправки. быстро надёжно оплата после получения,SUSPICIOUS,ru,v10_rus_foundation,False,129,False,False
Dear got train and seat mine lower seat,dear got train and seat mine lower seat,SAFE,en,v10_eng_foundation,False,39,False,False
"Menga 410,000 so'm tashlab tura olasanmi??",menga 410 000 so'm tashlab tura olasanmi,SAFE,uz,v10_uzb_foundation,False,42,False,True
"It's wylie, you in tampa or sarasota?",it's wylie you in tampa or sarasota,SAFE,en,v10_eng_foundation,False,37,False,False
Balansingiz: 318395 so'm. To'lov muvaffaqiyatli.,balansingiz: 318395 so'm. to'lov muvaffaqiyatli.,SAFE,uz,v10_uzb_foundation,False,48,False,True
Sizga davlat subsidiyasi ajratildi. Olish uchun: http://bit.ly/uz-3300319,sizga davlat subsidiyasi ajratildi. olish uchun: http://bit.ly/uz 3300319,DANGEROUS,uz,v10_uzb_foundation,False,73,True,True
 what number do u live at? Is it 11?,what number do u live at is it 11,SAFE,uz,v10_uzb_foundation,False,36,False,True
Profilingiz uchun mxsus cehgirma faollashtiriilishi mumkin,profilingiz uchun mxsus cehgirma faollashtiriilishi mumkin,SUSPICIOUS,uz,synthetic_suspicious_v1,True,58,False,False
U vas noviy yutuq! 503 000 yutib oldingiz. Claim your prize: http://uz-confirm.com/67523 OK,u vas noviy yutuq 503 000 yutib oldingiz. claim your prize: http://uz confirm.com/67523 ok,DANGEROUS,uz,v10_uzb_foundation,False,91,True,True
"Bu kodni hech kimga bermang, xodimlarimiz uni so'ramaydi. Kod: 53469",bu kodni hech kimga bermang xodimlarimiz uni so'ramaydi. kod: 53469,SAFE,uz,v10_uzb_foundation,False,68,False,True
"Yangi qurilmadan (MacBook, Almaty) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: bit.ly/xavf-uz?id=42",yangi qurilmadan macbook almaty hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: bit.ly/xavf uz id 42,DANGEROUS,uz,v10_uzb_foundation,False,130,False,True
"Yangi qurilmadan (iPhone 13, Samarkand) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: https://profil-tasdiq.com/sms?id=22",yangi qurilmadan iphone 13 samarkand hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: https://profil tasdiq.com/sms id 22,DANGEROUS,uz,v10_uzb_foundation,False,150,True,True
Kartangiz bloklandi. Qayta tiklash uchun malumotlarni kiriting: http://bonus-uz.com/id/7215185,kartangiz bloklandi. qayta tiklash uchun malumotlarni kiriting: http://bonus uz.com/id/7215185,DANGEROUS,uz,v10_uzb_foundation,False,94,True,True
Вам начислена компенсация 89170 руб. Получить на карту: http://login-uz.xyz,вам начислена компенсация 89170 руб. получить на карту: http://login uz.xyz,DANGEROUS,ru,v10_rus_foundation,False,75,True,True
