text,source,label
Kechikaman biroz 15:45 da boraman..,telegram,ham
Bugun 14:00 da ko'rishamiz. tezroq,telegram,ham
Bugungi majlis 14:00 ga surildi.?,telegram,ham
Bugun uchrashamizmi?.,telegram,ham
Uyga qaytayotganda daftar olib kel.,telegram,ham
Kechikaman biroz 21:30 da boraman....,sms,ham
Kechikaman biroz 16:30 da boraman. :),sms,ham
Bugun 13:15 da ko'rishamiz.!,telegram,ham
"Menga 4980,000 so'm tashlab tura olasanmi??",telegram,ham
"Yaxshimisiz, uydagilar qalay?...",telegram,ham
Bugun 16:45 da ko'rishamiz. :),telegram,ham
Uyga qaytayotganda shakar olib kel....,telegram,ham
Bugungi majlis 10:00 ga surildi. :),telegram,ham
Kechikaman biroz 17:15 da boraman. tezroq,telegram,ham
Kechikaman biroz 12:15 da boraman. tezroq,telegram,ham
Kechikaman biroz 18:30 da boraman.?,sms,ham
Uyga qaytayotganda kartoshka olib kel.!,telegram,ham
"Menga 3280,000 so'm tashlab tura olasanmi?.",telegram,ham
"Menga 4980,000 so'm tashlab tura olasanmi?",sms,ham
Kechikaman biroz 16:15 da boraman.,telegram,ham
Kechikaman biroz ertalab da boraman....,sms,ham
Kechikaman biroz 19:15 da boraman. :),telegram,ham
Bugungi majlis 10:30 ga surildi.!,sms,ham
"Menga 3280,000 so'm tashlab tura olasanmi?!",telegram,ham
Kechikaman biroz 10:30 da boraman.!,telegram,ham
Bugun 20:00 da ko'rishamiz....,sms,ham
Bugungi majlis 19:00 ga surildi.!,telegram,ham
Bugun 10:45 da ko'rishamiz. tezroq,telegram,ham
Bugungi majlis 19:30 ga surildi.?,sms,ham
Kechikaman biroz kechqurun da boraman.?,sms,ham
Bugun 16:45 da ko'rishamiz....,sms,ham
Bugungi majlis 15:30 ga surildi. tezroq,telegram,ham
Bugun 8:30 da ko'rishamiz.?,telegram,ham
Uyga qaytayotganda qogoz olib kel. tezroq,sms,ham
Bugungi majlis 8:45 ga surildi. :),sms,ham
Bugungi majlis 13:45 ga surildi....,telegram,ham
Kechikaman biroz 13:30 da boraman. :),telegram,ham
Bugungi majlis 18:15 ga surildi.!,sms,ham
Bugun uchrashamizmi?,sms,ham
Kechikaman biroz 12:30 da boraman.,telegram,ham
Kechikaman biroz 14:15 da boraman....,sms,ham
go'sht narxi qancha ekan hozir?.,sms,ham
Bugun 18:30 da ko'rishamiz.!,telegram,ham
"Iltimos, qayta qo'ng'iroq qiling.",sms,ham
"Aka, ishlar qanday?!",telegram,ham
"Menga 4120,000 so'm tashlab tura olasanmi? :)",sms,ham
Kechikaman biroz 8:15 da boraman.!,telegram,ham
Bugun 15:45 da ko'rishamiz.,telegram,ham
"Charchamang, oq yo'l!...",sms,ham
"Menga 3700,000 so'm tashlab tura olasanmi?.",sms,ham
suv narxi qancha ekan hozir?...,telegram,ham
Kechikaman biroz 9:45 da boraman..,sms,ham
Bugun 16:15 da ko'rishamiz. :),sms,ham
Bugun 17:00 da ko'rishamiz.,telegram,ham
Bugungi majlis ertalab ga surildi..,sms,ham
Kechikaman biroz 17:00 da boraman.!,telegram,ham
shakar narxi qancha ekan hozir?!,sms,ham
"Menga 2990,000 so'm tashlab tura olasanmi?!",telegram,ham
