text,source,label
Sizga yangi transfer keldi 54 000. Qabul qiling http://click-safety.uz/927633 -,sms,scam
Telegram Premium free! Botga kiring http://uz-confirm.com/908565!!,telegram,scam
Yutuq sohibi bo'ldingiz! 338 000 so'm yutdingiz. http://pay-check.net/743186!,sms,scam
Yutuq sohibi bo'ldingiz! 752 000 so'm yutdingiz. http://pay-check.net/918239 :),sms,scam
Davlat subsidiyasi uchun ariza qoldiring https://t.me/prize_bot/437623!!,telegram,scam
MTS: Hisobingizda kutilmagan faollik. http://pay-check.net/928581..,sms,scam
Sizga yangi transfer keldi 752 000. Qabul qiling http://pay-check.net/411271 :),telegram,scam
Yutuq sohibi bo'ldingiz! 333 000 so'm yutdingiz. https://bit.ly/claim-137504 (,telegram,scam
Davlat subsidiyasi uchun ariza qoldiring http://pay-check.net/148569 -,telegram,scam
MTS: Hisobingizda kutilmagan faollik. http://click-safety.uz/55238!,telegram,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: https://bit.ly/claim-208949!!,sms,scam
Telegram Premium free! Botga kiring https://bit.ly/claim-540228 (,telegram,scam
Yutuq sohibi bo'ldingiz! 516 000 so'm yutdingiz. https://t.me/prize_bot/918376 ),telegram,scam
Yutuq sohibi bo'ldingiz! 802 000 so'm yutdingiz. https://bit.ly/claim-216386...,telegram,scam
Telegram Premium free! Botga kiring https://t.me/prize_bot/659677...,sms,scam
Yutuq sohibi bo'ldingiz! 511 000 so'm yutdingiz. https://t.me/prize_bot/653749.,sms,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: https://bit.ly/claim-887758..,telegram,scam
MTS: Hisobingizda kutilmagan faollik. https://bit.ly/claim-137476 ?,sms,scam
Hisobingizdan 679 000 yechildi. Bekor qilish http://uz-confirm.com/520819..,sms,scam
Davlat subsidiyasi uchun ariza qoldiring https://t.me/prize_bot/42706 :),sms,scam
MTS: Hisobingizda kutilmagan faollik. https://bit.ly/claim-788536 👍,sms,scam
Telegram Premium free! Botga kiring https://bit.ly/claim-527700 (,sms,scam
Davlat subsidiyasi uchun ariza qoldiring https://t.me/prize_bot/797936 OK,sms,scam
Yutuq sohibi bo'ldingiz! 168 000 so'm yutdingiz. http://click-safety.uz/606881 OK,sms,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: http://uz-confirm.com/699331,telegram,scam
Davlat subsidiyasi uchun ariza qoldiring http://uz-confirm.com/86104 ),telegram,scam
Sizga yangi transfer keldi 459 000. Qabul qiling http://click-safety.uz/394020 -,telegram,scam
Yutuq sohibi bo'ldingiz! 538 000 so'm yutdingiz. http://pay-check.net/889060 OK,sms,scam
Telegram Premium free! Botga kiring https://t.me/prize_bot/644271 ?,sms,scam
Telegram Premium free! Botga kiring http://uz-confirm.com/47659 (,sms,scam
MTS: Hisobingizda kutilmagan faollik. http://uz-confirm.com/484123..,sms,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: https://bit.ly/claim-756744,sms,scam
Yutuq sohibi bo'ldingiz! 547 000 so'm yutdingiz. https://t.me/prize_bot/573672 ?,sms,scam
Hisobingizdan 619 000 yechildi. Bekor qilish http://pay-check.net/41919 OK,telegram,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: http://pay-check.net/718619..,telegram,scam
Davlat subsidiyasi uchun ariza qoldiring http://uz-confirm.com/729111 -,telegram,scam
MTS: Hisobingizda kutilmagan faollik. http://uz-confirm.com/976878 ?,sms,scam
Click: To'lov xatosi. Kartani qayta bog'lang http://uz-confirm.com/446567 (,telegram,scam
Sizga yangi transfer keldi 493 000. Qabul qiling https://bit.ly/claim-548276 :),telegram,scam
Telegram Premium free! Botga kiring http://pay-check.net/375996 :),telegram,scam
Yutuq sohibi bo'ldingiz! 266 000 so'm yutdingiz. http://uz-confirm.com/214132!!,sms,scam
Sizga yangi transfer keldi 217 000. Qabul qiling https://bit.ly/claim-830683 ),sms,scam
Click: To'lov xatosi. Kartani qayta bog'lang http://uz-confirm.com/399146 OK,telegram,scam
MTS: Hisobingizda kutilmagan faollik. http://click-safety.uz/608156 :),sms,scam
MTS: Hisobingizda kutilmagan faollik. https://bit.ly/claim-645563 👍,sms,scam
Davlat subsidiyasi uchun ariza qoldiring https://bit.ly/claim-697208...,sms,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: http://click-safety.uz/174806 ),telegram,scam
Sizga yangi transfer keldi 619 000. Qabul qiling https://bit.ly/claim-382308..,sms,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: http://click-safety.uz/485364 ?,telegram,scam
Davlat subsidiyasi uchun ariza qoldiring https://t.me/prize_bot/990311!!,telegram,scam
Sizga yangi transfer keldi 153 000. Qabul qiling https://bit.ly/claim-678662.,telegram,scam
MTS: Hisobingizda kutilmagan faollik. http://uz-confirm.com/963708 -,sms,scam
Click: To'lov xatosi. Kartani qayta bog'lang https://t.me/prize_bot/170754!!,sms,scam
Telegram Premium free! Botga kiring http://uz-confirm.com/137928 ),sms,scam
Hisobingizdan 760 000 yechildi. Bekor qilish https://t.me/prize_bot/960535!,telegram,scam
Sizga yangi transfer keldi 294 000. Qabul qiling http://uz-confirm.com/284615 -,sms,scam
Click: To'lov xatosi. Kartani qayta bog'lang https://bit.ly/claim-517863 (,telegram,scam
Davlat subsidiyasi uchun ariza qoldiring http://pay-check.net/649555 (,telegram,scam
MTS: Hisobingizda kutilmagan faollik. http://uz-confirm.com/896945...,sms,scam
MTS: Hisobingizda kutilmagan faollik. http://pay-check.net/402950 -,sms,scam
Sizga yangi transfer keldi 339 000. Qabul qiling http://pay-check.net/147121 ),sms,scam
Yutuq sohibi bo'ldingiz! 770 000 so'm yutdingiz. https://t.me/prize_bot/135067..,telegram,scam
Sizga yangi transfer keldi 546 000. Qabul qiling http://click-safety.uz/287045!,telegram,scam
MTS: Hisobingizda kutilmagan faollik. https://bit.ly/claim-475788 ?,sms,scam
Sizga yangi transfer keldi 339 000. Qabul qiling http://click-safety.uz/481531..,telegram,scam
Telegram Premium free! Botga kiring http://pay-check.net/243356...,sms,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: http://click-safety.uz/883181!,sms,scam
Yutuq sohibi bo'ldingiz! 167 000 so'm yutdingiz. http://pay-check.net/9586 -,sms,scam
Yutuq sohibi bo'ldingiz! 570 000 so'm yutdingiz. https://bit.ly/claim-980610 OK,telegram,scam
Sizga yangi transfer keldi 294 000. Qabul qiling https://t.me/prize_bot/4054.,telegram,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: http://uz-confirm.com/165172 -,sms,scam
Yutuq sohibi bo'ldingiz! 243 000 so'm yutdingiz. http://pay-check.net/162616 -,telegram,scam
Sizga yangi transfer keldi 168 000. Qabul qiling https://t.me/prize_bot/584575 ?,sms,scam
Davlat subsidiyasi uchun ariza qoldiring http://click-safety.uz/863376..,telegram,scam
Hisobingizdan 406 000 yechildi. Bekor qilish https://t.me/prize_bot/823169!!,telegram,scam
Telegram Premium free! Botga kiring http://uz-confirm.com/981664 👍,telegram,scam
Click: To'lov xatosi. Kartani qayta bog'lang https://bit.ly/claim-604590 👍,telegram,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: http://uz-confirm.com/52923...,sms,scam
MTS: Hisobingizda kutilmagan faollik. http://click-safety.uz/548647 ?,sms,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: http://uz-confirm.com/66621 (,telegram,scam
Davlat subsidiyasi uchun ariza qoldiring http://pay-check.net/151156!,sms,scam
MTS: Hisobingizda kutilmagan faollik. http://pay-check.net/895036...,telegram,scam
Telegram Premium free! Botga kiring http://click-safety.uz/372503 ?,sms,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: https://bit.ly/claim-569826 ?,telegram,scam
Yutuq sohibi bo'ldingiz! 503 000 so'm yutdingiz. https://t.me/prize_bot/347572!!,telegram,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: http://uz-confirm.com/606081 -,telegram,scam
Yutuq sohibi bo'ldingiz! 682 000 so'm yutdingiz. http://click-safety.uz/519638 OK,sms,scam
Telegram Premium free! Botga kiring https://bit.ly/claim-197761 👍,telegram,scam
Yutuq sohibi bo'ldingiz! 56 000 so'm yutdingiz. https://bit.ly/claim-444395,telegram,scam
Hisobingizdan 511 000 yechildi. Bekor qilish https://bit.ly/claim-604820,telegram,scam
Click: To'lov xatosi. Kartani qayta bog'lang http://uz-confirm.com/350423...,telegram,scam
Click: To'lov xatosi. Kartani qayta bog'lang http://pay-check.net/887306 ),sms,scam
Davlat subsidiyasi uchun ariza qoldiring https://t.me/prize_bot/816202 -,sms,scam
Hisobingizdan 619 000 yechildi. Bekor qilish http://uz-confirm.com/57649 :),telegram,scam
Sizga yangi transfer keldi 514 000. Qabul qiling https://bit.ly/claim-594509,telegram,scam
MTS: Hisobingizda kutilmagan faollik. http://pay-check.net/258603 (,sms,scam
Hisobingizdan 167 000 yechildi. Bekor qilish http://uz-confirm.com/608761,telegram,scam
Yutuq sohibi bo'ldingiz! 359 000 so'm yutdingiz. https://bit.ly/claim-624244 -,telegram,scam
Hisobingizdan 167 000 yechildi. Bekor qilish http://pay-check.net/385526..,telegram,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: https://bit.ly/claim-479824,telegram,scam
Telegram Premium free! Botga kiring https://t.me/prize_bot/174633 ?,sms,scam
Davlat subsidiyasi uchun ariza qoldiring http://uz-confirm.com/627860,sms,scam
MTS: Hisobingizda kutilmagan faollik. http://uz-confirm.com/826560 -,sms,scam
Yutuq sohibi bo'ldingiz! 54 000 so'm yutdingiz. http://pay-check.net/499878.,sms,scam
MTS: Hisobingizda kutilmagan faollik. https://bit.ly/claim-512148 ),telegram,scam
Telegram Premium free! Botga kiring https://bit.ly/claim-753519 ),sms,scam
Hisobingizdan 152 000 yechildi. Bekor qilish http://uz-confirm.com/74602 ),telegram,scam
Click: To'lov xatosi. Kartani qayta bog'lang http://click-safety.uz/940349.,telegram,scam
Davlat subsidiyasi uchun ariza qoldiring http://uz-confirm.com/785180 ?,telegram,scam
Click: To'lov xatosi. Kartani qayta bog'lang https://bit.ly/claim-310035.,sms,scam
Telegram Premium free! Botga kiring http://uz-confirm.com/484631 ?,telegram,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: http://click-safety.uz/250424 ),telegram,scam
Davlat subsidiyasi uchun ariza qoldiring https://bit.ly/claim-494191...,telegram,scam
Click: To'lov xatosi. Kartani qayta bog'lang https://bit.ly/claim-327797..,telegram,scam
