text,label,origin,notes
Aka qayerdasiz?,ham,adapted,daily chat
"Assalomu alaykum ustoz, dars qachon boshlanadi?",ham,adapted,daily chat
"Pulni tashlab yubordim, tekshirib ko'ring",ham,adapted,daily chat
Tezroq kela qoling kutib qoldik,ham,adapted,daily chat
Ertaga soat 9da ofisda ko'rishamiz,ham,adapted,daily chat
Sms keldiyoq o'qib javob yozing,ham,adapted,daily chat
"Toshkentga yetib keldik, hammasi joyida",ham,adapted,daily chat
Bugun ob-havo qanaqa bo'larkan?,ham,adapted,daily chat
"Ona, non bilan sut opkelaman",ham,adapted,daily chat
Dam olish kuningiz maroqli o'tsin,ham,adapted,daily chat
Dokumentlarni telegramdan tashlab yuborin,ham,adapted,daily chat
Mashinani qayerga qoydingiz,ham,adapted,daily chat
"Xayrli tong, ishlar qalay",ham,adapted,daily chat
Yaxshi dam oldingizmi?,ham,adapted,daily chat
Juma ayyomingiz muborak,ham,adapted,daily chat
"O'rtoq, qarzni qachon qaytarasan?",ham,adapted,daily chat
Keyingi hafta tug'ilgan kunga boramizmi?,ham,adapted,daily chat
Bozordan nima oliy?,ham,adapted,daily chat
"O'g'lim, uydamisan?",ham,adapted,daily chat
Biznikiga mehmonga kelinglar bugun,ham,adapted,daily chat
Rahmat kattakon,ham,adapted,daily chat
Qo'ng'iroq qilaman hozir,ham,adapted,daily chat
Ishlarim chiqib qoldi bora olmayman,ham,adapted,daily chat
Imtihon qachon ekan?,ham,adapted,daily chat
"Tabriklayman, yutuqlaringiz bardavom bo'lsin",ham,adapted,daily chat
Kecha nega telefonni ko'tarmading?,ham,adapted,daily chat
"Akam kelyaptilar, kutib ololasanmi?",ham,adapted,daily chat
Moshinani yuvdirib kel,ham,adapted,daily chat
"Men chiqdim, 10 minutda boraman",ham,adapted,daily chat
"Bugun dars bo'lmaydi, o'qituvchi kasal ekan",ham,adapted,daily chat
Kartaga pul tushdimi?,ham,adapted,daily chat
Ha tushdi raxmat,ham,adapted,daily chat
"Yo'q hali tushmadi, bank dasturi qotyapti",ham,adapted,daily chat
Bayramingiz bilan tabriklayman,ham,adapted,daily chat
"Ovqat tayyor, kelaveringlar",ham,adapted,daily chat
Kompterni o'chirib qo'ying,ham,adapted,daily chat
"Parolni eslolmayapman, yordam bering",ham,adapted,daily chat
Maktabga qachon borish kerak?,ham,adapted,daily chat
"Chiptalarni otdim, ko'rib chiqing",ham,adapted,daily chat
Ertaga xabar olaman,ham,adapted,daily chat
"Tabriklaymiz! Siz 10,000,000 so'm yutib oldingiz. Pulni olish uchun shu ssilkaga kiring: http://fake-link.uz",scam,adapted,phishing / block / financial / promo
Diqqat! Plastik kartangiz bloklandi. Qayta tiklash uchun shaxsiy ma'lumotlaringizni kiriting: bit.ly/uzcard-block,scam,adapted,phishing / block / financial / promo
"Sizga 500,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun quyidagi havolani bosing: humo-pay.uz",scam,adapted,phishing / block / financial / promo
"Hurmatli mijoz, to'lovingiz amalga oshmadi. Iltimos kartangiz balansini tekshiring va havolaga kiring",scam,adapted,phishing / block / financial / promo
"Sizning hisobingizdan 1,500,000 so'm yechib olindi! Bekor qilish uchun darhol bosing: uzbank-cancel.com",scam,adapted,phishing / block / financial / promo
Shoshilinch! Sizga davlat tomonidan subsidiya ajratildi. Bepul pulni olish uchun ro'yxatdan o'ting,scam,adapted,phishing / block / financial / promo
Ushbu raqamga qo'ng'iroq qiling va Malibu avtomobilini yutib oling! 88002986,scam,adapted,phishing / block / financial / promo
Siz tanlandingiz! Oyiga 5000$ topish siri. Telegram guruhimizga qo'shiling: t.me/scamgroup,scam,adapted,phishing / block / financial / promo
"Click orqali tolov tasdiqlanmadi, profilingiz bloklanadi. Havolaga kiring: click-uzb.com",scam,adapted,phishing / block / financial / promo
"Aksiya! Barcha tovarlarga 90% chegirma. Faqat 1 soat qoldi, ssilkaga o'ting",scam,adapted,phishing / block / financial / promo
UzMobile: Sizning raqamingiz g'olib bo'ldi. Sovrinni olish uchun SMS dagi kodni 1122 ga yuboring,scam,adapted,phishing / block / financial / promo
"Kredit tasdiqlandi! 20,000,000 so'mni kartangizga olish uchun shu ssilkaga bosing",scam,adapted,phishing / block / financial / promo
"Saylov tugadi, sizga davlatdan mukofot puli yozildi! Tasdiqlash uchun havola...",scam,adapted,phishing / block / financial / promo
"Iltimos ovoz berib yuboring, qizim konkursda qatnashyapti: fake-ovoz.uz",scam,adapted,phishing / block / financial / promo
"PayMe: Sizning parolingiz o'zgartirildi. Agar siz o'zgartirmagan bo'lsangiz, havolaga kiring",scam,adapted,phishing / block / financial / promo
Diqqat! Politsiya sizni jarimaga tortdi. To'lovni onlayn amalga oshiring: jarima-tolov.uz.com,scam,adapted,phishing / block / financial / promo
Karta ma'lumotlaringiz xavf ostida! Himoyalash uchun PIN kodingizni kiriting,scam,adapted,phishing / block / financial / promo
"Salom, men chet eldan yozibapman. Sizga katta meros qoldi, faqat 100 dollar komissiya tolang",scam,adapted,phishing / block / financial / promo
Bitcoin narxi tushib ketdi! Hozir 10$ kiritsangiz ertaga 1000$ qilib olasiz. Kirish:,scam,adapted,phishing / block / financial / promo
DXX ogohlantiradi! Sizning profilingiz buzilgan. Uni tiklash uchun shu botga start bosing,scam,adapted,phishing / block / financial / promo
Siz lotereya g'olibisiz. Yutuq kodini adminlarga yuboring va mukofotni oling,scam,adapted,phishing / block / financial / promo
"Farzandingiz maktabda muammoga uchradi, jarima to'lashingiz kerak. Havola: maktab-jarima.uz",scam,adapted,phishing / block / financial / promo
Sizning Telegram profilingiz 24 soat ichida o'chiriladi. Bekor qilish uchun bosing,scam,adapted,phishing / block / financial / promo
Bepul internet! Beeline mijozlari uchun 100 GB bepul internet. Olish uchun: bit.ly/beeline-free,scam,adapted,phishing / block / financial / promo
"Assalomu alaykum, onam kasalxonada, 50,000 ming som qarz berib turing kartaga",scam,adapted,phishing / block / financial / promo
Sizning IP manzilingiz bloklandi. Blokdan chiqarish uchun to'lov qiling,scam,adapted,phishing / block / financial / promo
"Aziz fuqaro, bu soliq qo'mitasi. Qarzingizni shu havola orqali tolang",scam,adapted,phishing / block / financial / promo
"Garantiyali yutuq! 1xbet da 100% yutadigan sxema topdim, kanalga o'ting",scam,adapted,phishing / block / financial / promo
Viza yutib oldingiz! AQShga Green Card tasdiqlandi. Registratsiya puli: 50$,scam,adapted,phishing / block / financial / promo
"Uyga yetkazib berish xizmati: Sizning pochtangiz keldi, lekin manzil xato. To'g'rilash uchun kiring",scam,adapted,phishing / block / financial / promo
Olx.uz: Xaridor sizning tovaringizni sotib oldi. Pulni olish uchun karta raqamingizni kiriting,scam,adapted,phishing / block / financial / promo
Ushbu SMS ni 10 ta odamga yuboring va sizga baxt kulib boqadi (va balansingizga pul tushadi),scam,adapted,phishing / block / financial / promo
Internet paketingiz tugadi. Lekin aksiya asosida bepul paketni faollashtirishingiz mumkin: fake-paket.uz,scam,adapted,phishing / block / financial / promo
"Assalom, ishimizga 10 kishi kerak. Kuniga 200,000 so'm. O'rganish bepul, faqat ssilkaga bosing",scam,adapted,phishing / block / financial / promo
Click Evolution: Tizim yangilanmoqda. Kartangizni qayta ulab qo'ying,scam,adapted,phishing / block / financial / promo
Sizning avtomobilingiz qidiruvga berilgan. Yo'l harakati xavfsizligi xizmati: havola.uz,scam,adapted,phishing / block / financial / promo
Elektr ta'minoti: Qarzdorlik uchun chiroq o'chiriladi. Onlayn to'lash: uzen-scam.uz,scam,adapted,phishing / block / financial / promo
Qonuniy yordam! Qarzni kechish dasturiga yoziling: botga kiring,scam,adapted,phishing / block / financial / promo
Super daromad! Faqat telefon orqali ish. 1 kunda 50 dollar! Havolani bosing,scam,adapted,phishing / block / financial / promo
Sizning pochtangiz posilkasi bojxonada to'xtatildi. Boj to'lovini amalga oshiring: boj-online.uz,scam,adapted,phishing / block / financial / promo
"Aka, bugun soat 1 da uchrashaylik",ham,generated,expansion_script
"Aka, bugun soat 2 da uchrashaylik",ham,generated,expansion_script
"Aka, bugun soat 3 da uchrashaylik",ham,generated,expansion_script
"Aka, bugun soat 4 da uchrashaylik",ham,generated,expansion_script
"Aka, bugun soat 5 da uchrashaylik",ham,generated,expansion_script
"Aka, bugun soat 6 da uchrashaylik",ham,generated,expansion_script
"Aka, bugun soat 7 da uchrashaylik",ham,generated,expansion_script
"Aka, bugun soat 8 da uchrashaylik",ham,generated,expansion_script
"Aka, bugun soat 9 da uchrashaylik",ham,generated,expansion_script
"Aka, bugun soat 10 da uchrashaylik",ham,generated,expansion_script
"Aka, bugun soat 11 da uchrashaylik",ham,generated,expansion_script
"Aka, bugun soat 12 da uchrashaylik",ham,generated,expansion_script
"Pulni kartaga tushirdim, 50 ming so'm",ham,generated,expansion_script
"Pulni kartaga tushirdim, 60 ming so'm",ham,generated,expansion_script
"Pulni kartaga tushirdim, 70 ming so'm",ham,generated,expansion_script
"Pulni kartaga tushirdim, 80 ming so'm",ham,generated,expansion_script
"Pulni kartaga tushirdim, 90 ming so'm",ham,generated,expansion_script
"Pulni kartaga tushirdim, 100 ming so'm",ham,generated,expansion_script
"Pulni kartaga tushirdim, 110 ming so'm",ham,generated,expansion_script
"Pulni kartaga tushirdim, 120 ming so'm",ham,generated,expansion_script
