text,clean_text,label,language,source
"Внимание!Есть вакантные места в закрытую команду, удалённо. Без опыта — не проблема. Хочешь попробовать? Пиши + в лс.",внимание есть вакантные места в закрытую команду удалённо. без опыта не проблема. хочешь попробовать пиши в лс.,SUSPICIOUS,ru,v10_rus_foundation
shakar narxi qancha ekan hozir? :),shakar narxi qancha ekan hozir :,SAFE,uz,v10_uzb_foundation
Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...,aiyar u so poor thing... i give u my support k... jia you i'll think of u...,SAFE,uz,v10_uzb_foundation
MTS: Hisobingizda kutilmagan faollik. https://bit.ly/claim-852688...,mts: hisobingizda kutilmagan faollik. https://bit.ly/claim 852688...,DANGEROUS,en,v10_eng_foundation
Hisobingizni faollashtirish uchun kiish talab etiladi!,hisobingizni faollashtirish uchun kiish talab etiladi,SUSPICIOUS,uz,synthetic_suspicious_v1
How. Its a little difficult but its a simple way to enter this place,how. its a little difficult but its a simple way to enter this place,SAFE,en,v10_eng_foundation
Hisobingizdan shubhali tranzaksiya aniqlandi. Tasdiqlash uchun havolaga o'ting: https://click-auth.uz/code=3768861,hisobingizdan shubhali tranzaksiya aniqlandi. tasdiqlash uchun havolaga o'ting: https://click auth.uz/code 3768861,DANGEROUS,uz,v10_uzb_foundation
I dont thnk its a wrong calling between us,i dont thnk its a wrong calling between us,SAFE,en,v10_eng_foundation
What Today-sunday..sunday is holiday..so no work..,what today sunday..sunday is holiday..so no work..,SAFE,en,v10_eng_foundation
Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u ,hello beautiful r u ok i've kinda ad a row wiv and he walked out the pub i wanted a night wiv u miss u,SAFE,uz,v10_uzb_foundation
Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil,msgs r not time pass.they silently say that i am thinking of u right now and also making u think of me at least 4 a moment. gd nt.swt drms shesil,SAFE,uz,v10_uzb_foundation
"Hurmatli mijzo, Ucell sizga xabar yubormoqda",hurmatli mijzo ucell sizga xabar yubormoqda,SUSPICIOUS,uz,synthetic_suspicious_v1
"U so lousy, run already come back then half dead... Hee...",u so lousy run already come back then half dead... hee...,SAFE,uz,v10_uzb_foundation
Arizangiz rad etildi.,arizangiz rad etildi.,SAFE,uz,v10_uzb_foundation
SMS kodingizni begonalarga bermang. Xavfsizlik xizmati.,sms kodingizni begonalarga bermang. xavfsizlik xizmati.,SAFE,uz,v10_uzb_foundation
No need to ke qi... ÃÃ too bored izzit y suddenly thk of this...,no need to ke qi... ã ã too bored izzit y suddenly thk of this...,SAFE,en,v10_eng_foundation
Ваша карта заблокирована. Подтвердите по ссылке: https://bit.ly/claim-468163 OK,ваша карта заблокирована. подтвердите по ссылке: https://bit.ly/claim 468163 ok,DANGEROUS,ru,v10_rus_foundation
"Salom, men texnik mutaxassisdan. Hiisobingiz haqida gaplashishiimz keerak...",salom men texnik mutaxassisdan. hiisobingiz haqida gaplashishiimz keerak...,SUSPICIOUS,uz,synthetic_suspicious_v1
"Action taken on yur behaf, please review",action taken on yur behaf please review,SUSPICIOUS,en,synthetic_suspicious_v1
Yutuq sohibi bo'ldingiz! 168 000 so'm yutdingiz. http://click-safety.uz/606881 OK,yutuq sohibi bo'ldingiz 168 000 so'm yutdingiz. http://click safety.uz/606881 ok,DANGEROUS,uz,v10_uzb_foundation
Are you the David who applied for the position..,are you the david who applied for the position..,SUSPICIOUS,en,synthetic_suspicious_v1
Sizga 456409 so'm bonus berildi! Olish uchun: http://lucky-draw.net,sizga 456409 so'm bonus berildi olish uchun: http://lucky draw.net,SUSPICIOUS,uz,v10_uzb_foundation
Bugun 10:30 da ko'rishamiz. tezroq,bugun 10:30 da ko'rishamiz. tezroq,SAFE,uz,v10_uzb_foundation
Hisobingizga 228921 so'm kelib tushdi. Manba: Click,hisobingizga 228921 so'm kelib tushdi. manba: click,SAFE,uz,v10_uzb_foundation
Profilingiz uchun maxsus chegiram faollashtirilishi mukmin!,profilingiz uchun maxsus chegiram faollashtirilishi mukmin,SUSPICIOUS,uz,synthetic_suspicious_v1
Click: To'lov xatosi. Kartani qayta bog'lang https://bit.ly/claim-327797..,click: to'lov xatosi. kartani qayta bog'lang https://bit.ly/claim 327797..,DANGEROUS,uz,v10_uzb_foundation
Szning account temporarily suspendd..,szning account temporarily suspendd..,SUSPICIOUS,uz,synthetic_suspicious_v1
