text,clean_text,label,language,source,category
Akkauntingiz uchhun 15% chegirmaga haqingiz bor!,akkauntingiz uchhun 15 chegirmaga haqingiz bor,SUSPICIOUS,uz,synthetic_suspicious_v1,promotional
Someone viewed yur profile...,someone viewed yur profile...,SUSPICIOUS,en,synthetic_suspicious_v1,curiosity_hooks
You've been selected for a suvrey,you've been selected for a suvrey,SUSPICIOUS,en,synthetic_suspicious_v1,curiosity_hooks
Tizimga kirsih uchun hisboni qayta faollashtiring...,tizimga kirsih uchun hisboni qayta faollashtiring...,SUSPICIOUS,uz,synthetic_suspicious_v1,soft_urgency
Sizga bildirishnoma br!,sizga bildirishnoma br,SUSPICIOUS,uz,synthetic_suspicious_v1,curiosity_hooks
"SALOM, SIZNING RAQAMINNGIZ CLICK DA RO'YXATDAN O'TGAN!",salom sizning raqaminngiz click da ro'yxatdan o'tgan,SUSPICIOUS,uz,synthetic_suspicious_v1,social_engineering
Yangi to'lov so'rovi qabuul qilindi!,yangi to'lov so'rovi qabuul qilindi,SUSPICIOUS,uz,synthetic_suspicious_v1,financial_gray
Tizim xavfsizligi: ma'lumotlaringiznni tekshiring!,tizim xavfsizligi: ma'lumotlaringiznni tekshiring,SUSPICIOUS,uz,synthetic_suspicious_v1,authority
Tizim xafsizligi: mal'umotlaringizni tekshiring...,tizim xafsizligi: mal'umotlaringizni tekshiring...,SUSPICIOUS,uz,synthetic_suspicious_v1,authority
"ЗДРАВСТВУЙТЕ, ЭТО ДМИТРИЙ. НАМ НУЖНО ОБСУДИТЬ ВАШ АККАУНТ!",здравствуйте это дмитрий. нам нужно обсудить ваш аккаунт,SUSPICIOUS,ru,synthetic_suspicious_v1,social_engineering
Texnik yoram: tizimga qayta kiring,texnik yoram: tizimga qayta kiring,SUSPICIOUS,uz,synthetic_suspicious_v1,authority
Netwwork alert: connectivity changes detected!,netwwork alert: connectivity changes detected,SUSPICIOUS,en,synthetic_suspicious_v1,authority
Ma'lumotlaringiz bo'yicha yngilik mavjud...,ma'lumotlaringiz bo'yicha yngilik mavjud...,SUSPICIOUS,uz,synthetic_suspicious_v1,curiosity_hooks
Secure your hisobingzini!,secure your hisobingzini,SUSPICIOUS,uz,synthetic_suspicious_v1,mixed_language
Hisbingizda 6 ta yangi xabar bor!,hisbingizda 6 ta yangi xabar bor,SUSPICIOUS,uz,synthetic_suspicious_v1,curiosity_hooks
Hisobingiz uchun yangi xavfsizlik talabi mavjud,hisobingiz uchun yangi xavfsizlik talabi mavjud,SUSPICIOUS,uz,synthetic_suspicious_v1,soft_urgency
"Sizinng profilingiz ko'rildi, kim ekanligini bilasizmi...",sizinng profilingiz ko'rildi kim ekanligini bilasizmi...,SUSPICIOUS,uz,synthetic_suspicious_v1,social_engineering
Bugungi aksiya: barca foydalanuvchilarga bons,bugungi aksiya: barca foydalanuvchilarga bons,SUSPICIOUS,uz,synthetic_suspicious_v1,promotional
Do you still need help with the project...,do you still need help with the project...,SUSPICIOUS,en,synthetic_suspicious_v1,social_engineering
Importan:t update your profile information!,importan:t update your profile information,SUSPICIOUS,en,synthetic_suspicious_v1,soft_urgency
Qo'llab-quvvattlash xizmati: ma'lumotlaringizni tasdiqlang,qo'llab quvvattlash xizmati: ma'lumotlaringizni tasdiqlang,SUSPICIOUS,uz,synthetic_suspicious_v1,authority
An udate is available for your accuont,an udate is available for your accuont,SUSPICIOUS,en,synthetic_suspicious_v1,curiosity_hooks
Запрос на подключение ожидает ответа...,запрос на подключение ожидает ответа...,SUSPICIOUS,ru,synthetic_suspicious_v1,curiosity_hooks
Bugungi taklif: maxsus bonus sizni kutmoqda!,bugungi taklif: maxsus bonus sizni kutmoqda,SUSPICIOUS,uz,synthetic_suspicious_v1,promotional
Yangi to'lov so'rrovi qabul qilindi...,yangi to'lov so'rrovi qabul qilindi...,SUSPICIOUS,uz,synthetic_suspicious_v1,financial_gray
A new device signed into yoru account,a new device signed into yoru account,SUSPICIOUS,en,synthetic_suspicious_v1,curiosity_hooks
Your account requires immedite attention..,your account requires immedite attention..,SUSPICIOUS,en,synthetic_suspicious_v1,soft_urgency
"Siz 5,000 so'm miqdordia mukofot olishinggiz mumkin",siz 5 000 so'm miqdordia mukofot olishinggiz mumkin,SUSPICIOUS,uz,synthetic_suspicious_v1,promotional
Опреатор связи: изменения в тарифном плане..,опреатор связи: изменения в тарифном плане..,SUSPICIOUS,ru,synthetic_suspicious_v1,authority
"Kutilmagan kirish aniqalndi, tekshiring...",kutilmagan kirish aniqalndi tekshiring...,SUSPICIOUS,uz,synthetic_suspicious_v1,curiosity_hooks
Payment penidng kutilmoqda,payment penidng kutilmoqda,SUSPICIOUS,uz,synthetic_suspicious_v1,mixed_language
Administratsiya: profilingizni yangilang...,administratsiya: profilingizni yangilang...,SUSPICIOUS,uz,synthetic_suspicious_v1,authority
"Hurmatli mijoz, Click sizga xabar yubormoqda!",hurmatli mijoz click sizga xabar yubormoqda,SUSPICIOUS,uz,synthetic_suspicious_v1,social_engineering
Customer service: yoru ticket requires a reesponse,customer service: yoru ticket requires a reesponse,SUSPICIOUS,en,synthetic_suspicious_v1,authority
Custmer service: your ticket requires a response..,custmer service: your ticket requires a response..,SUSPICIOUS,en,synthetic_suspicious_v1,authority
Siz sovg'a olish uchun ro'yxatdan o'tishingiz mumkin,siz sovg'a olish uchun ro'yxatdan o'tishingiz mumkin,SUSPICIOUS,uz,synthetic_suspicious_v1,promotional
Profiliniz bo'yyicha muhim bildirishnoma!,profiliniz bo'yyicha muhim bildirishnoma,SUSPICIOUS,uz,synthetic_suspicious_v1,curiosity_hooks
Billing issue aniqlandi hisobingizda,billing issue aniqlandi hisobingizda,SUSPICIOUS,uz,synthetic_suspicious_v1,mixed_language
Please complete the verification prcess,please complete the verification prcess,SUSPICIOUS,en,synthetic_suspicious_v1,soft_urgency
Изменение статуса вашего заказа...,изменение статуса вашего заказа...,SUSPICIOUS,ru,synthetic_suspicious_v1,curiosity_hooks
"Transaction failed bo'ldi, tekshiring!",transaction failed bo'ldi tekshiring,SUSPICIOUS,uz,synthetic_suspicious_v1,mixed_language
Please update your information to avoid disrupption..,please update your information to avoid disrupption..,SUSPICIOUS,en,synthetic_suspicious_v1,soft_urgency
Hisobnigizni 24 soat ichida tasdiqlang!,hisobnigizni 24 soat ichida tasdiqlang,SUSPICIOUS,uz,synthetic_suspicious_v1,soft_urgency
ОБЯЗАТЕЛЬНОЕ ОБНОВЛЕНИЕ ДАННЫХ ПРОФИЛЯ!,обязательное обновление данных профиля,SUSPICIOUS,ru,synthetic_suspicious_v1,soft_urgency
Сорчно: подтвердите изменения в аккаунте,сорчно: подтвердите изменения в аккаунте,SUSPICIOUS,ru,synthetic_suspicious_v1,soft_urgency
You reeceived a document from HR...,you reeceived a document from hr...,SUSPICIOUS,en,synthetic_suspicious_v1,curiosity_hooks
Akkauntingiz uchun 30% chgirrmaga haqingiz bor,akkauntingiz uchun 30 chgirrmaga haqingiz bor,SUSPICIOUS,uz,synthetic_suspicious_v1,promotional
"Youur sssion will expire soon, please re-autheenticate",youur sssion will expire soon please re autheenticate,SUSPICIOUS,en,synthetic_suspicious_v1,soft_urgency
