text,risk_label,intent_label,language,tags
Ipak Yo'li bank: Shaxsingizni tasdiqlamasangiz kartangiz o'chiriladi. Kirish: http://link-fix.bz,DANGEROUS,REQUEST,mixed,phishing_login
Login va parol xato kiritildi. Profilingizni himoya qiling: http://verify-secure.click,DANGEROUS,REQUEST,mixed,phishing_login
Security Alert: Your Click account is locked. Please log in to verify: http://secure-entry.online,DANGEROUS,REQUEST,mixed,phishing_login
Security alert: Googlega begona kirdi. Please verify login immediately: http://verify-secure.click,DANGEROUS,REQUEST,mixed,phishing_login
Xavfsizlik xizmati: Tinkoff profilingiz bloklangan. Qayta tiklash: http://auth-check.top/login,DANGEROUS,REQUEST,mixed,phishing_login
Ваш пароль истекает. Обновите данные в личном кабинете: http://auth-check.top,DANGEROUS,REQUEST,mixed,phishing_login
💰 Внимание! Hisobingiz bloklandi. Akkauntingizni login orqali tasdiqlang: http://link-fix.bz???,DANGEROUS,REQUEST,mixed,phishing_login
Your access is restricted. Sign in to recover: http://secure-entry.online/auth,DANGEROUS,REQUEST,mixed,phishing_login
Diqqat! Akkauntingizga begonalar kirdi. Loginin tasdiqlang: http://verify-secure.click,DANGEROUS,REQUEST,mixed,phishing_login
MXX: Noqonuniy harakat aniqlandi. Shaxsingizni botda tasdiqlang: http://secure-entry.online,DANGEROUS,REQUEST,mixed,phishing_login
Diqqat! Akkauntingizga begonalar kirdi. Loginni tasdiqlang: http://secure-entry.online???,DANGEROUS,REQUEST,mixed,phishing_login
Внимание! Hisobingiz bloklandi. Akkauntingizni login orqali tasdiqlang: http://login-uz.xyz,DANGEROUS,REQUEST,mixed,phishing_login
Внимание! Hisobingiz bloklandi. Akkauntingizni login orqali tasdiqlang: http://verify-secure.click,DANGEROUS,REQUEST,mixed,phishing_login
Y0ur @ccess 1s restr1cted. S1gn 1n t0 rec0ver: http://ver1fy-sceure.cl1ck/@uth!!!,DANGEROUS,REQUEST,mixed,phishing_login
MXX: Noqonuniy harakat aniqlandi. Shaxsingizni botda tasdiqlang: http://login-uz.xyz,DANGEROUS,REQUEST,mixed,phishing_login
Внимание! Hisobingiz bloklandi. Akkauntingizni login orqali tasdiqlang: http://link-fix.bz,DANGEROUS,REQUEST,mixed,phishing_login
Служба безопасности TBC: Ваша карта ограничена. Пройдите авторизацию: http://auth-check.top,DANGEROUS,REQUEST,mixed,phishing_login
Login va parol xato kiritildi. Profilingizni himoya qiling: http://auth-check.top,DANGEROUS,REQUEST,mixed,phishing_login
✅ Sizning Google parolingiz o'zgartirildi. Agar bu siz bo'lmasangiz: http://verify-secure.click,DANGEROUS,REQUEST,mixed,phishing_login
Xavfsizlik xizmati: NBU profilingiz bloklangan. Qayta tiklash: http://verify-secure.click/login,DANGEROUS,REQUEST,mixed,phishing_login
"Внимание! Кто-то вошел в ваш аккаунт. Если это не вы, перейдите по ссылке: http://login-uz.xyz",DANGEROUS,REQUEST,mixed,phishing_login
Xavfsizlik xizmati: UzCard profilingiz bloklangan. Qayta tiklash: http://verify-secure.click/login,DANGEROUS,REQUEST,mixed,phishing_login
