text,clean_text,label,language,source,is_synthetic,length,has_url,has_number
"Tizimmda sizninng nomingizga ro'yxatdan o'tilgan, sizmisiz?",tizimmda sizninng nomingizga ro'yxatdan o'tilgan sizmisiz,SUSPICIOUS,uz,synthetic_suspicious_v1,True,59,False,False
You recceived a document form Admin,you recceived a document form admin,SUSPICIOUS,en,synthetic_suspicious_v1,True,35,False,False
VIP statsu olish imkoniyati mavjud...,vip statsu olish imkoniyati mavjud...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,37,False,False
Bank: kartangiz faoliyait tekshirilmoqda!,bank: kartangiz faoliyait tekshirilmoqda,SUSPICIOUS,uz,synthetic_suspicious_v1,True,41,False,False
"Acction taken on your behalf, please review...",acction taken on your behalf please review...,SUSPICIOUS,en,synthetic_suspicious_v1,True,46,False,False
Чек по операции достпуен для скачивания...,чек по операции достпуен для скачивания...,SUSPICIOUS,ru,synthetic_suspicious_v1,True,42,False,False
Hisboingiz holati yangilandi..,hisboingiz holati yangilandi..,SUSPICIOUS,uz,synthetic_suspicious_v1,True,30,False,False
"Salo,m sizning raqamingiz Ucell da ro'yxatdan o'tgan",salo m sizning raqamingiz ucell da ro'yxatdan o'tgan,SUSPICIOUS,uz,synthetic_suspicious_v1,True,52,False,False
"Пожалуйста, проверьте настройки безопасности...",пожалуйста проверьте настройки безопасности...,SUSPICIOUS,ru,synthetic_suspicious_v1,True,47,False,False
Новый запрос на перевдо средств..,новый запрос на перевдо средств..,SUSPICIOUS,ru,synthetic_suspicious_v1,True,33,False,False
Someone vieweed your profile,someone vieweed your profile,SUSPICIOUS,en,synthetic_suspicious_v1,True,28,False,False
Ma'lummotlaringizni bugn da yangilang,ma'lummotlaringizni bugn da yangilang,SUSPICIOUS,uz,synthetic_suspicious_v1,True,37,False,False
"Assalomu alaykum, Uzmobbile dan qo'ng'iroq bo'ladi, javob berinng..",assalomu alaykum uzmobbile dan qo'ng'iroq bo'ladi javob berinng..,SUSPICIOUS,uz,synthetic_suspicious_v1,True,67,False,False
NEW FEATURES AVAILABLE FOR YOUR ACCONT!,new features available for your accont,SUSPICIOUS,en,synthetic_suspicious_v1,True,39,False,False
"Salom, sizning raqamingiz Kapitalbaank da ro'yxatdan o'tgan...",salom sizning raqamingiz kapitalbaank da ro'yxatdan o'tgan...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,62,False,False
Ma'lumotlaringiz bo'yicha yngilik mavjud,ma'lumotlaringiz bo'yicha yngilik mavjud,SUSPICIOUS,uz,synthetic_suspicious_v1,True,40,False,False
Uunsual sign-in atcivity on your account!,uunsual sign in atcivity on your account,SUSPICIOUS,en,synthetic_suspicious_v1,True,41,False,False
Support: your case has beeen escalated...,support: your case has beeen escalated...,SUSPICIOUS,en,synthetic_suspicious_v1,True,41,False,False
Security notice: please rview your account,security notice: please rview your account,SUSPICIOUS,en,synthetic_suspicious_v1,True,42,False,False
Texniik xizmat xabari: tizim yangilanishi rejalashtirilgan..,texniik xizmat xabari: tizim yangilanishi rejalashtirilgan..,SUSPICIOUS,uz,synthetic_suspicious_v1,True,60,False,False
Sizga urgent xabra keldi,sizga urgent xabra keldi,SUSPICIOUS,uz,synthetic_suspicious_v1,True,24,False,False
"Есть предложение, которое может обеспечить Вам стабильный пассивный заработок. За деталями в лс",есть предложение которое может обеспечить вам стабильный пассивный заработок. за деталями в лс,SUSPICIOUS,ru,v10_rus_foundation,False,95,False,False
"Siznnig profilingiz ko'rildi, kim eknaligini bilasizmi?",siznnig profilingiz ko'rildi kim eknaligini bilasizmi,SUSPICIOUS,uz,synthetic_suspicious_v1,True,55,False,False
Login qliib tekshirib ko'ring...,login qliib tekshirib ko'ring...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,32,False,False
Foydalanuvchilarga maxsus immkoniyat taqdim etilmodqa,foydalanuvchilarga maxsus immkoniyat taqdim etilmodqa,SUSPICIOUS,uz,synthetic_suspicious_v1,True,53,False,False
Tizim ma'muriyati: parolingizni yangilash tvasiya etiladi..,tizim ma'muriyati: parolingizni yangilash tvasiya etiladi..,SUSPICIOUS,uz,synthetic_suspicious_v1,True,59,False,False
Sizga Tizim dan xbaar keldi!,sizga tizim dan xbaar keldi,SUSPICIOUS,uz,synthetic_suspicious_v1,True,28,False,False
