text,label,category,language,source
Kimdir kecha 18+ kontent uchun g'alati havola ulashdi.,SUSPICIOUS,ADULT,uz,semantic_context_v1
Did you see that post about doubling crypto in a week?,SUSPICIOUS,GAMBLING,en,semantic_context_v1
urgent: this documentary discusses adult themes and historical context...,SAFE,ADULT,en,semantic_context_v1
"Hi, who distributed those strange pamphlets near the mosque today!",SUSPICIOUS,EXTREMISM,en,semantic_context_v1
"Мы должны проявлять терпение и доброту, как учит нас наша религия...",SAFE,EXTREMISM,ru,semantic_context_v1
"Смотри слитое видео сейчас, пока его не удалили t.me/super_vzlom!",DANGEROUS,ADULT,ru,semantic_context_v1
"Поддержите революцию, отправив анонимные пожертвования на этот кошелек http://zarabotok.ru.",DANGEROUS,EXTREMISM,ru,semantic_context_v1
"Qalay, bugun kechqurun xususiy eskort xizmatlari uchun mahalliy qizlar bilan tanishing http://scam.uz!!",DANGEROUS,ADULT,uz,semantic_context_v1
"Salom, tezkor savdolar uchun yangi platforma topdim! yozvor",SUSPICIOUS,GAMBLING,uz,semantic_context_v1
"Ro'yxatdan o'tmasdan to'liq porno videolarni yuklab oling, bu yerni bosing http://scam.uz!!",DANGEROUS,ADULT,uz,semantic_context_v1
Join the hidden VIP channel for exclusive 18+ leaked content tonight http://crypto-double.com...,DANGEROUS,ADULT,en,semantic_context_v1
"Claim your $1000 casino bonus now, this is not a scam http://scam.uz dm me",DANGEROUS,GAMBLING,en,semantic_context_v1
"Hello, download full sex videos without registration click here bit.ly/123? dm me",DANGEROUS,ADULT,en,semantic_context_v1
"Узнайте, как создать самодельную взрывчатку, чтобы защитить нашу веру от врагов t.me/super_vzlom в лс",DANGEROUS,EXTREMISM,ru,semantic_context_v1
DIQQAT: biologiya darsi uchun jinsiy tarbiya mashg'ulotini rejalashtirishimiz kerak!,SAFE,ADULT,uz,semantic_context_v1
"Dinimiz o'rgatganidek, sabr va ruxsozni ko'paytirishimiz kerak! brat",SAFE,EXTREMISM,uz,semantic_context_v1
URGENT: my doctor prescribed medication for a reproductive health issue,SAFE,ADULT,en,semantic_context_v1
"Yo, 100% guaranteed profit on the next match. buy vip signals here t.me/fake_channel!",DANGEROUS,GAMBLING,en,semantic_context_v1
muhim: bugun moliya bozori haqida guruh uchrashuvimiz bor!!,SAFE,GAMBLING,uz,semantic_context_v1
Ogohlantirish: ushbu hujjatli film katta yoshdagilar uchun mo'ljallangan qadimiy mavzularni muhokama qiladi !,SAFE,ADULT,uz,semantic_context_v1
"Hurmatli mijoz, ushbu hujjatli film katta yoshdagilar uchun mo'ljallangan qadimiy mavzularni muhokama qiladi.",SAFE,ADULT,uz,semantic_context_v1
URGENT: we must practice patience and kindness as our religion teaches us...,SAFE,EXTREMISM,en,semantic_context_v1
Kripto savdo botimiz orqali zudlik bilan pul ishlash va boyib ketish http://kripto-foyda.uz!,DANGEROUS,GAMBLING,uz,semantic_context_v1
"Ro'yxatdan o'tmasdan to'liq porno videolarni yuklab oling, bu yerni bosing [havola] yozvor",DANGEROUS,ADULT,uz,semantic_context_v1
Uncensored adult videos and free nude pictures http://scam.uz.,DANGEROUS,ADULT,en,semantic_context_v1
"Этот канал делится идеями, которые противоречат нашим текущим законам",SUSPICIOUS,EXTREMISM,ru,semantic_context_v1
"Ro'yxatdan o'tmasdan to'liq porno videolarni yuklab oling, bu yerni bosing http://kripto-foyda.uz?",DANGEROUS,ADULT,uz,semantic_context_v1
Bugun ochiq mavzular muhokama qilinganidan hayron qoldim!!,SUSPICIOUS,ADULT,uz,semantic_context_v1
Investing in the long-term stock portfolio is a safe bet for retirement ngl,SAFE,GAMBLING,en,semantic_context_v1
"Hurmatli mijoz, kripto savdo botimiz orqali zudlik bilan pul ishlash va boyib ketish http://scam.uz.",DANGEROUS,GAMBLING,uz,semantic_context_v1
Notice: the local football team won the match today against the rivals?,SAFE,GAMBLING,en,semantic_context_v1
"Я посещаю исламские занятия, чтобы лучше изучать Коран !",SAFE,EXTREMISM,ru,semantic_context_v1
Inqilobni qo'llab-quvvatlash uchun ushbu hamyonga pul yuboring http://kripto-foyda.uz...,DANGEROUS,EXTREMISM,uz,semantic_context_v1
Dushmanlardan o'zimizni himoya qilish uchun qo'lbola portlovchi moddalar yasashni o'rganing t.me/yopiq_guruh? tezroq,DANGEROUS,EXTREMISM,uz,semantic_context_v1
Join the hidden VIP channel for exclusive 18+ leaked content tonight t.me/fake_channel !,DANGEROUS,ADULT,en,semantic_context_v1
bolalarni nomaqbul internet materiallaridan himoya qilish kerak.,SAFE,ADULT,uz,semantic_context_v1
Bugun masjid yaqinida o'sha g'alati kitobchalarni kim tarqatdi !  uka,SUSPICIOUS,EXTREMISM,uz,semantic_context_v1
"Привет, исследование изучает человеческую сексуальность с социологической точки зрения!!",SAFE,ADULT,ru,semantic_context_v1
"Assalomu alaykum, guruhga yuborgan kattalar uchun mo'ljallangan kontentni ko'rdingizmi! uka",SUSPICIOUS,ADULT,uz,semantic_context_v1
DIQQAT: bugun tunda maxsus 18+ sizdirilgan videolarni ko'rish uchun yopiq vip guruhiga qo'shiling http://kripto-foyda.uz!!,DANGEROUS,ADULT,uz,semantic_context_v1
"Мы немного поспорили на шахматном турнире, но это было просто ради интереса?",SAFE,GAMBLING,ru,semantic_context_v1
ВНИМАНИЕ: религиозная группа организует благотворительное мероприятие для сирот... пжл,SAFE,EXTREMISM,ru,semantic_context_v1
O'chirilmasidan oldin sizdirilgan xususiy videoni hoziroq ko'ring bit.ly/uzb_link.,DANGEROUS,ADULT,uz,semantic_context_v1
investing in the long-term stock portfolio is a safe bet for retirement!!,SAFE,GAMBLING,en,semantic_context_v1
"Привет, кто сегодня раздавал эти странные брошюры возле мечети?",SUSPICIOUS,EXTREMISM,ru,semantic_context_v1
"Dinimiz o'rgatganidek, sabr va ruxsozni ko'paytirishimiz kerak? uka",SAFE,EXTREMISM,uz,semantic_context_v1
"Hello, i found a new platform for fast trades...",SUSPICIOUS,GAMBLING,en,semantic_context_v1
"Hi, did you see that post about doubling crypto in a week!",SUSPICIOUS,GAMBLING,en,semantic_context_v1
Download full sex videos without registration click here http://crypto-double.com?,DANGEROUS,ADULT,en,semantic_context_v1
Biologiya darsi uchun jinsiy tarbiya mashg'ulotini rejalashtirishimiz kerak !  uka,SAFE,ADULT,uz,semantic_context_v1
"Hey mate, download full sex videos without registration click here bit.ly/123.",DANGEROUS,ADULT,en,semantic_context_v1
"Assalomu alaykum, bugun tunda maxsus 18+ sizdirilgan videolarni ko'rish uchun yopiq vip guruhiga qo'shiling [havola]...",DANGEROUS,ADULT,uz,semantic_context_v1
"Вы читали новую интерпретацию, опубликованную тем скандальным ученым! в лс",SUSPICIOUS,EXTREMISM,ru,semantic_context_v1
Did you see the mature content they sent in the group... tbh,SUSPICIOUS,ADULT,en,semantic_context_v1
"Hurmatli mijoz, o'chirilmasidan oldin sizdirilgan xususiy videoni hoziroq ko'ring http://scam.uz...",DANGEROUS,ADULT,uz,semantic_context_v1
Bugun tunda maxsus 18+ sizdirilgan videolarni ko'rish uchun yopiq VIP guruhiga qo'shiling t.me/yopiq_guruh.,DANGEROUS,ADULT,uz,semantic_context_v1
"I've been lucky lately with these new games, want to see!!",SUSPICIOUS,GAMBLING,en,semantic_context_v1
DIQQAT: nima uchun bu shaxsiy rasm bu yerda tarqalmoqda!!,SUSPICIOUS,ADULT,uz,semantic_context_v1
"Hello, i need to discuss the stock market group meeting today",SAFE,GAMBLING,en,semantic_context_v1
O'yin xatosi topildi! Har safar yutish uchun ushbu strategiyani qo'llang bit.ly/uzb_link! tezroq,DANGEROUS,GAMBLING,uz,semantic_context_v1
"Qalay, tezkor savdolar uchun yangi platforma topdim!!",SUSPICIOUS,GAMBLING,uz,semantic_context_v1
"Hurmatli mijoz, kimdir pulni tez ishlashning siri borligini aytdi?",SUSPICIOUS,GAMBLING,uz,semantic_context_v1
O'chirilmasidan oldin sizdirilgan xususiy videoni hoziroq ko'ring t.me/yopiq_guruh!,DANGEROUS,ADULT,uz,semantic_context_v1
"Salom, dushmanlardan o'zimizni himoya qilish uchun qo'lbola portlovchi moddalar yasashni o'rganing http://scam.uz!",DANGEROUS,EXTREMISM,uz,semantic_context_v1
Инвестирование в акции - это надежная ставка на будущее! бро,SAFE,GAMBLING,ru,semantic_context_v1
"1000$ kazino bonusingizni hoziroq oling, bu firibgarlik emas bit.ly/uzb_link!",DANGEROUS,GAMBLING,uz,semantic_context_v1
Bugun masjid yaqinida o'sha g'alati kitobchalarni kim tarqatdi! tezroq,SUSPICIOUS,EXTREMISM,uz,semantic_context_v1
Инвестирование в акции - это надежная ставка на будущее,SAFE,GAMBLING,ru,semantic_context_v1
"Смотри слитое видео сейчас, пока его не удалили [ссылка]?",DANGEROUS,ADULT,ru,semantic_context_v1
"Shu yangi o'yinlarda omadim keldi, sen ham ko'rasanmi!! uka",SUSPICIOUS,GAMBLING,uz,semantic_context_v1
Muhim: ba'zilar jamiyatni tozalash uchun qattiq choralar ko'rish zarur deb biladi!,SUSPICIOUS,EXTREMISM,uz,semantic_context_v1
"Salom, aksiya bozorida sarmoya kiritish uzoq muddatli foyda keltiradi!",SAFE,GAMBLING,uz,semantic_context_v1
URGENT - friday prayers will be held at the main mosque at 1:00 pm inshallah.,SAFE,EXTREMISM,en,semantic_context_v1
Someone told me there's a loophole to earn money fast?,SUSPICIOUS,GAMBLING,en,semantic_context_v1
URGENT - watch the leaked private tape now before it gets deleted t.me/fake_channel... dm me,DANGEROUS,ADULT,en,semantic_context_v1
Bugun kechqurun xususiy eskort xizmatlari uchun mahalliy qizlar bilan tanishing bit.ly/uzb_link!!,DANGEROUS,ADULT,uz,semantic_context_v1
That channel is sharing ideas that oppose our current laws?,SUSPICIOUS,EXTREMISM,en,semantic_context_v1
Bugun ochiq mavzular muhokama qilinganidan hayron qoldim?,SUSPICIOUS,ADULT,uz,semantic_context_v1
"1000$ kazino bonusingizni hoziroq oling, bu firibgarlik emas bit.ly/uzb_link",DANGEROUS,GAMBLING,uz,semantic_context_v1
Kripto savdo botimiz orqali zudlik bilan pul ishlash va boyib ketish [havola]!! uka,DANGEROUS,GAMBLING,uz,semantic_context_v1
"Assalomu alaykum, kimdir kecha 18+ kontent uchun g'alati havola ulashdi.",SUSPICIOUS,ADULT,uz,semantic_context_v1
"Hurmatli mijoz, alloh sizga va oilangizga tinchlik va baraka bersin?",SAFE,EXTREMISM,uz,semantic_context_v1
"Здравствуйте, видео для взрослых без цензуры и бесплатные голые фото [ссылка] !  брат",DANGEROUS,ADULT,ru,semantic_context_v1
"Hello, who distributed those strange pamphlets near the mosque today?",SUSPICIOUS,EXTREMISM,en,semantic_context_v1
"Hurmatli mijoz, ro'yxatdan o'tmasdan to'liq porno videolarni yuklab oling, bu yerni bosing http://scam.uz dm",DANGEROUS,ADULT,uz,semantic_context_v1
"Assalomu alaykum, bir haftada kriptoni ikki baravar ko'paytirish haqidagi postni ko'rdingizmi?",SUSPICIOUS,GAMBLING,uz,semantic_context_v1
URGENT - i think the group is becoming too radical with their beliefs !,SUSPICIOUS,EXTREMISM,en,semantic_context_v1
"Dear user, the local football team won the match today against the rivals!",SAFE,GAMBLING,en,semantic_context_v1
biz muqaddas urush uchun askarlarni jalb qilmoqdamiz. yashirin guruhimizga qo'shiling t.me/yopiq_guruh...,DANGEROUS,EXTREMISM,uz,semantic_context_v1
"Assalomu alaykum, senzurasiz kattalar uchun videolar va bepul yalang'och rasmlar http://kripto-foyda.uz.",DANGEROUS,ADULT,uz,semantic_context_v1
"я посещаю исламские занятия, чтобы лучше изучать коран!!",SAFE,EXTREMISM,ru,semantic_context_v1
Ushbu hujjatli film katta yoshdagilar uchun mo'ljallangan qadimiy mavzularni muhokama qiladi?,SAFE,ADULT,uz,semantic_context_v1
"hello, the local football team won the match today against the rivals!!",SAFE,GAMBLING,en,semantic_context_v1
Срочно: они обсуждают эскорт-услуги в главном чате...,SUSPICIOUS,ADULT,ru,semantic_context_v1
"Кто-то сказал мне, что есть лазейка, чтобы быстро заработать деньги!!",SUSPICIOUS,GAMBLING,ru,semantic_context_v1
"Bugun 100 foiz to'lov kafolatlanadi! 50$ tikib, 2 soatda 500$ oling: bit.ly/uzb_link! uka",DANGEROUS,GAMBLING,uz,semantic_context_v1
ВНИМАНИЕ: инвестирование в акции - это надежная ставка на будущее !,SAFE,GAMBLING,ru,semantic_context_v1
Ты видел тот пост об удвоении крипты за неделю...,SUSPICIOUS,GAMBLING,ru,semantic_context_v1
срочно: местная футбольная команда выиграла сегодняшний матч!!,SAFE,GAMBLING,ru,semantic_context_v1
Biz muqaddas urush uchun askarlarni jalb qilmoqdamiz. Yashirin guruhimizga qo'shiling bit.ly/uzb_link!! dm,DANGEROUS,EXTREMISM,uz,semantic_context_v1
URGENT - we must practice patience and kindness as our religion teaches us?,SAFE,EXTREMISM,en,semantic_context_v1
почему это приватное фото распространяется здесь...,SUSPICIOUS,ADULT,ru,semantic_context_v1
bugun tunda maxsus 18+ sizdirilgan videolarni ko'rish uchun yopiq vip guruhiga qo'shiling t.me/yopiq_guruh!!,DANGEROUS,ADULT,uz,semantic_context_v1
Dushmanlardan o'zimizni himoya qilish uchun qo'lbola portlovchi moddalar yasashni o'rganing bit.ly/uzb_link,DANGEROUS,EXTREMISM,uz,semantic_context_v1
"Hello, earn money and become rich immediately with our crypto trading bot t.me/fake_channel?",DANGEROUS,GAMBLING,en,semantic_context_v1
"Hurmatli mijoz, qur'onni yaxshiroq o'rganish uchun islomiy darslarga qatnashyapman!!",SAFE,EXTREMISM,uz,semantic_context_v1
Senzurasiz kattalar uchun videolar va bepul yalang'och rasmlar [havola]... brat,DANGEROUS,ADULT,uz,semantic_context_v1
"Bugun 100 foiz to'lov kafolatlanadi! 50$ tikib, 2 soatda 500$ oling: http://kripto-foyda.uz !",DANGEROUS,GAMBLING,uz,semantic_context_v1
"Claim your $1000 casino bonus now, this is not a scam t.me/fake_channel !",DANGEROUS,GAMBLING,en,semantic_context_v1
bugun tunda maxsus 18+ sizdirilgan videolarni ko'rish uchun yopiq vip guruhiga qo'shiling http://kripto-foyda.uz.,DANGEROUS,ADULT,uz,semantic_context_v1
senzurasiz kattalar uchun videolar va bepul yalang'och rasmlar bit.ly/uzb_link!,DANGEROUS,ADULT,uz,semantic_context_v1
DIQQAT: juma namozi inshaalloh soat 13:00 da markaziy masjidda o'qiladi...,SAFE,EXTREMISM,uz,semantic_context_v1
I am attending Islamic classes to study the Quran better !,SAFE,EXTREMISM,en,semantic_context_v1
This documentary discusses adult themes and historical context !,SAFE,ADULT,en,semantic_context_v1
"Hello, have you read the news about the new state casino regulations.",SAFE,GAMBLING,en,semantic_context_v1
"Assalomu alaykum, o'yin xatosi topildi! har safar yutish uchun ushbu strategiyani qo'llang t.me/yopiq_guruh.",DANGEROUS,GAMBLING,uz,semantic_context_v1
Bugun kechqurun xususiy eskort xizmatlari uchun mahalliy qizlar bilan tanishing http://kripto-foyda.uz? brat,DANGEROUS,ADULT,uz,semantic_context_v1
"Guaranteed 100 percent payout today! Invest $50, get $500 in 2 hours via bit.ly/123 !",DANGEROUS,GAMBLING,en,semantic_context_v1
[alert] my doctor prescribed medication for a reproductive health issue,SAFE,ADULT,en,semantic_context_v1
Inqilobni qo'llab-quvvatlash uchun ushbu hamyonga pul yuboring http://kripto-foyda.uz brat,DANGEROUS,EXTREMISM,uz,semantic_context_v1
"I've been lucky lately with these new games, want to see? asap!",SUSPICIOUS,GAMBLING,en,semantic_context_v1
ВНИМАНИЕ: пусть аллах дарует мир и благословение вам и вашей семье? пжл,SAFE,EXTREMISM,ru,semantic_context_v1
"Qalay, ba'zilar jamiyatni tozalash uchun qattiq choralar ko'rish zarur deb biladi!",SUSPICIOUS,EXTREMISM,uz,semantic_context_v1
"Salom, senzurasiz kattalar uchun videolar va bepul yalang'och rasmlar [havola]",DANGEROUS,ADULT,uz,semantic_context_v1
Qur'onni yaxshiroq o'rganish uchun islomiy darslarga qatnashyapman!,SAFE,EXTREMISM,uz,semantic_context_v1
"Поддержите революцию, отправив анонимные пожертвования на этот кошелек t.me/super_vzlom!! в лс",DANGEROUS,EXTREMISM,ru,semantic_context_v1
"qalay, biz muqaddas urush uchun askarlarni jalb qilmoqdamiz. yashirin guruhimizga qo'shiling http://kripto-foyda.uz!!",DANGEROUS,EXTREMISM,uz,semantic_context_v1
